cnpj_clean,cane_area_total_ha,mean_first_key_year,first_entry_year,last_entry_year,n_entry_years,schema,buffer_km,frontier_source_method,frontier_year_window,frontier_area_definition,cane_area_total_ha_approx_from_origin
00372496000124,309527.06599958387,1999.7623660997087,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,309527.06599958387
00595322000120,79025.20623777839,2009.7778060428764,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,79025.20623777839
01105558000102,22613.27280906081,2011.0974070951504,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,22613.27280906081
02043917000107,61180.74235481648,2011.0952484339048,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,61180.74235481648
02414858000470,78643.03500943894,2006.6244304441784,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,78643.03500943894
02460988000105,87672.17812826962,2006.6335301460408,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,87672.17812826962
02635522000195,80156.2124154088,2006.6938726774467,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,80156.2124154088
02635522004930,100192.29447408006,2006.550022424756,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,100192.29447408006
02678100000105,9218.750313952096,2012.3410734864128,1992.0,2015.0,23.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,9218.750313952096
02773950000184,172362.1345017459,2009.4909853543904,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,172362.1345017459
02783009000141,66331.87807385606,2004.376725795864,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,66331.87807385606
02859452000230,257186.12789875723,2009.533831982396,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,257186.12789875723
02896264000109,38844.55856970253,2003.523435211475,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,38844.55856970253
03345641000338,314034.2212083685,2002.9919725426723,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,314034.2212083685
03347747000109,63451.8255853714,2007.0149351726684,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,63451.8255853714
03445208000455,476006.4371848546,2005.3384909517715,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,476006.4371848546
03937452000435,258683.16831325987,2008.5535069219068,1987.0,2015.0,29.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,258683.16831325987
04165520000105,13527.344405247277,2008.550547303728,1993.0,2015.0,23.0,pre_renovabio_1985_2015,50,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,13527.344405247277
