grid_id,grid_area_km2,entry_all__2022,entry_all__2023,entry_productive__2022,entry_productive__2023,exp__2022__00_03,exp__2022__03_06,exp__2022__06_09,exp__2022__09_12,exp__2022__12_20,exp__2022__gt_20,exp__2023__00_03,exp__2023__03_06,exp__2023__06_09,exp__2023__09_12,exp__2023__12_20,exp__2023__gt_20,sel__2022__00_03,sel__2022__03_06,sel__2022__06_09,sel__2022__09_12,sel__2022__12_20,sel__2022__gt_20,sel__2023__00_03,sel__2023__03_06,sel__2023__06_09,sel__2023__09_12,sel__2023__12_20,sel__2023__gt_20
"114,154",2449.7107118210793,64.38404822349548,48.2909996509552,64.38404822349548,45.07080054283142,10242.501354727092,31660.82081545942,44124.22306469749,30525.644727129093,24976.887595338452,11891.4492812914,9928.898672644298,31269.967916150188,44070.8645005329,30524.21450901125,25005.671971322045,11920.397563294802,3.219632148742676,25.752184629440308,9.654405355453491,19.31778073310852,6.440045356750488,0.0,6.438246726989746,9.656548976898193,16.095067977905273,9.660577297210693,3.2203595638275146,0.0
"115,154",2488.660828582258,35.38472890853882,22.514509201049805,32.16820001602173,22.514509201049805,7169.727193787518,18852.93390912355,23781.060964782566,17415.414168871153,24341.11286802666,19899.349659633634,7013.540825860641,18812.537479910192,23758.550021846622,17396.74879486047,24441.86398455489,19949.914022796293,3.217266082763672,12.866983652114868,16.08395028114319,0.0,0.0,0.0,0.0,12.865870475769043,9.648638725280762,0.0,0.0,0.0
"116,154",2486.227157095385,253.82705068588257,3.2127885818481445,247.40132522583008,3.2127885818481445,19494.504953000127,31013.42555746658,36746.35614633187,30252.39810627582,41149.2601022365,14983.06773908372,19475.222627493917,30902.57286765622,36624.248476978384,30225.097424696007,41287.5426805197,15017.706933835909,16.06510019302368,86.75020217895508,86.75258803367615,48.19541335105896,9.638021469116211,0.0,0.0,3.2127885818481445,0.0,0.0,0.0,0.0
"117,154",2483.646216534366,141.21348812626857,6.4196813106536865,141.21348812626857,6.4196813106536865,25543.231308747272,40160.43262341069,44469.86513602781,29983.75262273433,23645.462472507064,3425.525967216492,25162.043952330423,39891.68988454856,44560.48798114459,30054.319078336976,23745.66299972908,3453.68789862184,51.3562593460083,69.00145684504042,17.64771238588819,0.0,3.208059549331665,0.0,0.0,0.0,3.209217071533203,0.0,3.2104642391204834,0.0
"118,154",2480.918873225939,12.82968521118164,3.205155372619629,12.82968521118164,3.205155372619629,12654.305175257663,23481.78952324811,37637.38336797229,39513.63599198753,44509.23438913775,14522.362526964673,12635.256506135416,23502.74154691977,37667.21105918511,39666.89983704511,44647.25428222301,14553.544637786641,0.0,0.0,6.41512393951416,6.4145612716674805,0.0,0.0,0.0,3.205155372619629,0.0,0.0,0.0,0.0
"119,154",2478.0460407013966,0.0,0.0,0.0,0.0,10482.85519366358,20767.238277698965,32177.81142013213,34073.90635726779,44461.105970306024,19908.3738018307,10460.265483834695,20772.91172854947,32180.27729930597,34128.70585004956,44514.203621115405,19914.76730811923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"120,154",2475.0286790644604,0.0,0.0,0.0,0.0,5684.617647271998,13628.077934807423,21181.396701356476,25696.069282288645,54887.832280160874,31821.664055120244,5665.436086994059,13607.818706657372,21125.95734224787,25707.53772663696,54923.55597506037,31881.64075430141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"121,154",2471.8677943272055,0.0,0.0,0.0,0.0,904.0602478625729,2506.689494671541,3840.7477409316043,4926.927973258262,12588.362802351225,8439.9775223358,888.0829283835842,2519.4673746249255,3834.347352213953,4926.914927708869,12662.626614083498,8535.81984087065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"122,154",2468.5644377091385,0.0,0.0,0.0,0.0,2659.9451710897333,5877.974497679168,8382.313039553399,10521.035484563603,32197.341864433478,55846.0560140002,2618.467748852337,5884.353390577728,8356.778728497262,10456.436096643,32044.202557790046,55708.8656203139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"123,154",2465.1197049090874,200.67506194114685,9.557246685028076,200.67506194114685,9.557246685028076,11323.02590528376,12254.99615319757,14463.120888813806,16888.732649906946,52446.523885424926,85162.29562120626,11248.175511275085,12197.65943535356,14408.975615843607,16777.24303756602,52246.61866396174,84852.45647819932,15.921587467193604,12.73505687713623,28.669604778289795,12.738920450210571,63.711357831954956,66.8985345363617,0.0,6.372416019439697,0.0,0.0,0.0,3.184830665588379
