year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,50270.20471789229,36768608.55529244,187,1133,119417.25993165969,120475131.4833871,0.42096263761755215,0.3051966667524463,1.3793159738504188,0.4639529874461874,1.367204435878943
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,25324.392574684294,17493042.706095323,163,1100,119417.25993165969,120475131.4833871,0.21206643486190338,0.14520044502717577,1.460508160441333,0.5464704191019443,1.4476836877474835
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,6752.665419313955,8469517.987315029,124,1072,119417.25993165969,120475131.4833871,0.05654681260630483,0.07030096487990081,0.8043532930580256,-0.3140987847880269,0.7972904041797373
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,1840.8463865654142,9976828.719120054,81,1031,119417.25993165969,120475131.4833871,0.015415245565162832,0.08281234970468414,0.18614669937678263,-2.425488059331639,0.1845121770044555
2001,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,238.45226806659323,7198712.6360130245,27,890,119417.25993165969,120475131.4833871,0.0019967990238852836,0.05975268544949204,0.03341772857344035,-4.903242514041692,0.03312429320677245
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,79063.00704299702,41065028.856508896,247,1140,267844.7697796158,121406476.61985214,0.2951821949260033,0.3382441365553477,0.8726897616973234,-0.1964592231721747,1.925312345919985
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,117011.39730771103,37074523.50800391,252,1135,267844.7697796158,121406476.61985214,0.4368627298714426,0.30537517058576397,1.4305771128460185,0.5165972657995828,3.156113315453664
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,55064.45245065502,17593008.60485407,216,1103,267844.7697796158,121406476.61985214,0.20558345229575462,0.14490996769423828,1.4186977995160284,0.5045673099261381,3.1299053895456086
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,12907.714064180149,8501296.947636314,161,1073,267844.7697796158,121406476.61985214,0.0481910252524277,0.07002342201442488,0.6882129416997117,-0.5390730729803813,1.5183229269234015
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,3427.4718812624615,9989067.513401123,106,1030,267844.7697796158,121406476.61985214,0.01279648612919567,0.0822778799905287,0.15552765981171027,-2.6847569156597593,0.34312230612759775
2002,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,370.727032810099,7183551.18944782,36,891,267844.7697796158,121406476.61985214,0.001384111525176076,0.059169423159696415,0.023392344411409968,-5.4178197320509724,0.05160776655349424
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,73733.80069924523,41717547.25863149,244,1140,257700.42111885222,122457803.09333844,0.2861221583539399,0.340668754500144,0.839883771476961,-0.251738402609943,1.7674529195622706
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,115318.83675591338,37371386.842326246,241,1138,257700.42111885222,122457803.09333844,0.4474918444263154,0.3051776685381285,1.466332207628116,0.5522119929683733,3.0857521355162842
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,52833.44045223629,17667983.944165505,211,1105,257700.42111885222,122457803.09333844,0.20501883630166576,0.14427813906394196,1.4209972323721503,0.5069037446954983,2.9903491320345843
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,12102.873253075282,8526071.553521013,149,1073,257700.42111885222,122457803.09333844,0.046964895131053744,0.06962456730521585,0.6745448761666547,-0.568013668808796,1.4195134508432734
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,3434.1938515476154,10001809.049280515,118,1032,257700.42111885222,122457803.09333844,0.013326302831161284,0.08167555514332595,0.16316146009385565,-2.615627772245051,0.34335727013251227
2003,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,277.2761068344116,7173004.445413677,39,890,257700.42111885222,122457803.09333844,0.0010759629558638984,0.058575315449243756,0.018368880263158527,-5.766592504970783,0.03865550466955283
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,94599.93694215288,42746039.47502725,258,1142,321118.2395772644,124133342.07255156,0.2945953399180589,0.34435582544811927,0.855496896370765,-0.2251654740693752,2.21306904929565
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,138468.19583199444,37843109.855014004,253,1139,321118.2395772644,124133342.07255156,0.4312062622611555,0.304858543427406,1.4144470330838403,0.5002381530240079,3.659006787827406
