year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year,selection_ratio_bootstrap,selection_ratio_ci_low,selection_ratio_boot_median,selection_ratio_ci_high
1994,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,367.61124140608547,7181327.552543635,34,873,200618.66428071563,110165160.41671681,0.0018323880418808166,0.06518692048719531,0.028109750057003436,-5.152785563986913,0.05118987244578158,0.028109750057003408,0.016980848874648114,0.027614445842545757,0.04158740681334589
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,55846.82893080711,35686773.96233468,208,1135,196209.6175205511,111804377.02803211,0.2846283971016746,0.31918941736410844,0.8917225372074002,-0.16533321485946437,1.564916710873059,0.8917225372073999,0.7798708382547176,0.8948834289209684,0.9968886919622391
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,82972.48906013732,34158099.98839827,209,1129,196209.6175205511,111804377.02803211,0.4228767687773854,0.30551666130060356,1.3841365213182564,0.4689862471041247,2.4290721406728935,1.3841365213182568,1.3162947078336154,1.3847249621591056,1.4552809795236363
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,42285.14603967386,16771626.647275303,174,1091,196209.6175205511,111804377.02803211,0.21551005793711867,0.15000867670028914,1.4366506170019648,0.5227092514927459,2.5212310605866874,1.4366506170019664,1.318528205572338,1.4324724700191411,1.5721384265185376
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,11480.023640131483,8226488.4949157005,140,1065,196209.6175205511,111804377.02803211,0.05850897517258072,0.0735793062274576,0.795182479591618,-0.3306421248140585,1.3954950094717324,0.7951824795916177,0.6478908961931319,0.788419388541753,0.9597381433452722
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,3289.716022382063,9789057.016568553,98,1015,196209.6175205511,111804377.02803211,0.016766334209063406,0.08755522168970357,0.19149439502858473,-2.3846259292791925,0.3360605640373762,0.19149439502858445,0.13351974909844455,0.18843620114148363,0.25627490825296967
1995,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,335.413827419281,7172330.918539606,43,876,196209.6175205511,111804377.02803211,0.0017094668021772662,0.06415071671783767,0.02664766489977397,-5.229847072742063,0.046764968213091916,0.026647664899773955,0.017060097620450822,0.026403084628557713,0.038373800500645455
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,72522.18252845932,36766091.28089228,222,1134,273061.1319788297,113657008.30858384,0.2655895476697941,0.3234828351373697,0.8210313463989806,-0.28449079075145495,1.9725290342775668,0.8210313463989795,0.7212152847624689,0.8213038437346813,0.9255830721752913
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,114768.8578726703,34704916.544462726,211,1129,273061.1319788297,113657008.30858384,0.4203046293734997,0.3053477921065574,1.3764783641429632,0.46098193344312494,3.3069913228470798,1.3764783641429632,1.3077472633202434,1.376189440618373,1.447196204530268
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,62080.53115181829,16905791.78840824,179,1092,273061.1319788297,113657008.30858384,0.2273503032157333,0.14874394496209384,1.5284676177821668,0.6120859875144091,3.6721457314046027,1.528467617782171,1.4036494733806322,1.5279127036962312,1.6628191846431577
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,17392.47598646108,8271213.435616816,130,1066,273061.1319788297,113657008.30858384,0.06369444036366739,0.07277345725272043,0.8752427432776166,-0.19224489970835704,2.1027719961338485,0.8752427432776174,0.6990599413202345,0.868950379944462,1.072231244434234
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,5739.111327552795,9826365.196156336,106,1018,273061.1319788297,113657008.30858384,0.021017679396413497,0.08645630693953615,0.24310174862213768,-2.0403678242298384,0.5840523136467283,0.2431017486221373,0.165461812889693,0.2395406602018062,0.3356413793051629
