entry_all__post_law_pre_zae_2002_2008,entry_all__post_zae_2020_2023,entry_all__pre_law_1986_2001,entry_all__zae_2009_2019,entry_productive__post_law_pre_zae_2002_2008,entry_productive__post_zae_2020_2023,entry_productive__pre_law_1986_2001,entry_productive__zae_2009_2019,exp__post_law_pre_zae_2002_2008__00_03,exp__post_law_pre_zae_2002_2008__03_06,exp__post_law_pre_zae_2002_2008__06_09,exp__post_law_pre_zae_2002_2008__09_12,exp__post_law_pre_zae_2002_2008__12_20,exp__post_law_pre_zae_2002_2008__gt_20,exp__post_zae_2020_2023__00_03,exp__post_zae_2020_2023__03_06,exp__post_zae_2020_2023__06_09,exp__post_zae_2020_2023__09_12,exp__post_zae_2020_2023__12_20,exp__post_zae_2020_2023__gt_20,exp__pre_law_1986_2001__00_03,exp__pre_law_1986_2001__03_06,exp__pre_law_1986_2001__06_09,exp__pre_law_1986_2001__09_12,exp__pre_law_1986_2001__12_20,exp__pre_law_1986_2001__gt_20,exp__zae_2009_2019__00_03,exp__zae_2009_2019__03_06,exp__zae_2009_2019__06_09,exp__zae_2009_2019__09_12,exp__zae_2009_2019__12_20,exp__zae_2009_2019__gt_20,grid_area_km2,grid_id,sel__post_law_pre_zae_2002_2008__00_03,sel__post_law_pre_zae_2002_2008__03_06,sel__post_law_pre_zae_2002_2008__06_09,sel__post_law_pre_zae_2002_2008__09_12,sel__post_law_pre_zae_2002_2008__12_20,sel__post_law_pre_zae_2002_2008__gt_20,sel__post_zae_2020_2023__00_03,sel__post_zae_2020_2023__03_06,sel__post_zae_2020_2023__06_09,sel__post_zae_2020_2023__09_12,sel__post_zae_2020_2023__12_20,sel__post_zae_2020_2023__gt_20,sel__pre_law_1986_2001__00_03,sel__pre_law_1986_2001__03_06,sel__pre_law_1986_2001__06_09,sel__pre_law_1986_2001__09_12,sel__pre_law_1986_2001__12_20,sel__pre_law_1986_2001__gt_20,sel__zae_2009_2019__00_03,sel__zae_2009_2019__03_06,sel__zae_2009_2019__06_09,sel__zae_2009_2019__09_12,sel__zae_2009_2019__12_20,sel__zae_2009_2019__gt_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50718.011480879315,132184.83112708072,150290.43695722564,105001.1988640028,194037.08524866292,104466.54304741221,27688.588194331,72733.52915395194,82907.52926521674,57781.324089024114,103809.30735359003,54575.084355863866,117324.64487835941,304672.80804513296,347019.2898452852,243318.98595474655,451714.220000525,243483.59824745514,77413.07034353088,203058.99216439677,230156.57215931657,159179.55399410863,289856.0430478358,153296.76939222394,1338.9962657464637,"100,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72962.03517510564,189256.06104507725,234494.46191574825,192026.52934363685,382332.6635319654,246146.37660034688,38141.45533845191,101147.06040416044,125869.36177155738,102824.105778826,200616.46232749996,124563.67253465558,173490.30387551736,444392.27200422005,548656.1962238603,453392.22856650816,911826.8529411736,578316.6038678609,107449.43523421287,284516.149227463,352575.39977363695,287291.08202658355,560790.273106214,352078.7462736288,2504.6089561232607,"101,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97882.12002465491,228603.8576167976,307522.71224581305,283412.27234801964,370712.7902221352,149255.91149024214,52785.6712418257,124375.73806540825,168426.24184365463,155593.13270915818,198078.02449259293,72474.74655302084,222847.8063970042,525909.7656040229,704582.0691308217,651467.8310576018,860650.9688915439,351370.6151921207,148929.47995212875,348764.2101846891,471265.30904930155,433662.0370454779,556560.7269505641,210830.38485046744,2504.3014825435944,"102,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108653.50072174724,261972.28913216587,223037.46616395222,182021.97694740578,252767.42397615305,126005.02464617748,60895.24654885834,148663.34535043285,126122.81601524634,101664.05756982071,136943.13697611584,65215.083504500115,241611.56905367138,557944.3098040861,478234.6812476569,395277.8625634904,571564.1044160421,303031.00462696597,168154.94129700755,407919.80126578105,346583.7553924962,281016.79507759976,381207.53320108395,184238.88537662264,2503.8403957275705,"103,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109965.33005739568,137557.39432719172,61467.688338818276,32631.65189453668,76835.45803603939,186816.61350269878,64308.68351421637,81748.7799653745,38309.60000158852,19418.029493419795,42090.164720911125,102363.09063892085,242754.81751913088,293443.7316657188,124535.9842685045,63957.413553830695,163681.50703337893,447637.97748727136,174811.7830036902,219915.2218151569,100509.69717704269,51235.84969811626,114565.91193573149,280609.9372823136,2503.2258438713516,"104,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34152.108817506305,51812.74805384896,57044.76149547614,66589.15719208251,155958.26001873202,125241.86690007753,15763.210149597655,23494.615871776317,25854.279573821088,29848.793944977777,68852.67116393484,51758.85835082203,83996.32676196568,123054.91296603915,141613.93522157666,163977.1523041407,404028.38528822915,354466.5188130669,45025.18519349472,66911.09746446704,75630.78538936072,87780.80284070593,205122.13553510085,156291.24373420363,2502.458024455604,"105,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135811.62060068542,211498.63042433493,175309.92378128093,95447.12887304438,67804.70988682484,17723.524189387113,74531.0307974273,121831.12081504147,99029.34808509584,50804.00351151391,30488.33540735152,4267.3102096295825,305219.4052126034,457954.64364602044,387560.0781802327,220283.20701061978,163424.04229646944,51519.452530757124,198515.5089119322,323251.3711690968,264321.1105166005,137412.7293518936,86631.56259773011,15734.129287690741,2269.9620142626254,"106,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134188.22584705724,181280.2773530605,161784.92693843466,86117.62760071288,62287.42303478017,4559.465345135857,74696.49662288868,104367.28094569936,93791.77149956179,49197.13968352336,31225.841415064013,1417.1845744918373,314768.0769539646,413283.53488797403,366507.5517388157,199887.0732181652,149915.1030050792,12447.073617486392,193462.5188824224,276233.091372691,249743.54775687202,129655.66685500427,85036.37492254292,4592.545348523645,1924.7664607628326,"107,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97567.29750590792,226774.3741108885,203204.93415170652,115378.45184057365,78395.95184316354,7933.367481519662,52797.00952404994,125910.22750463018,113456.31153504801,64004.973056747396,42547.720520961986,3938.507034111023,232099.21116496722,526802.6972795514,467456.9083490315,270093.1730818571,189316.61763728276,21144.496700918906,143719.01173734947,342277.4986061405,305387.6167082796,170566.30645801788,112169.20717512768,10962.659087170807,2235.9680673794082,"108,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116727.95423365482,205656.53369779963,173747.56340986982,98992.5346502061,73529.31398310288,8958.68019902379,65285.02065892874,109882.83251150076,89918.82314314283,48497.001320866984,32106.544979123508,3351.930805673786,285996.5998336372,481845.261240214,407718.3769352735,235905.1356798032,186292.83238903584,27262.461031353705,178564.6913225492,306045.281846757,254086.24378321122,138884.424783932,96175.15884495716,10937.164519766266,2176.350146202116,"109,142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
