period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_exposure,grids_with_entry,selected_total_period,exposure_total_period,selected_share,available_share,selection_ratio,conversion_rate_per_1000_ha_year,log2_selection_ratio
post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,7484.259077808903,39135194.47545662,1048,220,582929.8944162005,497689920.6764667,0.012839038020694285,0.07863368906941805,0.16327655706652586,0.19124113673441964,-2.614610428493132
post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,1255.730150461197,27307235.906429205,894,90,582929.8944162005,497689920.6764667,0.002154170102596643,0.054867970541402265,0.03926097651035133,0.045985252947756176,-4.670760133396495
pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,830531.316165321,554527993.1453425,1142,342,3040244.4001183677,1758330640.8930562,0.2731791286690588,0.31537185342097984,0.8662127761427101,1.4977265826643988,-0.20720664339876219
pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,1279551.756215982,535523212.45728856,1141,339,3040244.4001183677,1758330640.8930562,0.420871347108201,0.3045634307921156,1.3818840496168205,2.389348820837592,0.4666365679253974
pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,678070.2497351796,266509845.11845878,1104,293,3040244.4001183677,1758330640.8930562,0.2230314936880666,0.15156981225277313,1.4714770070185001,2.544259666781877,0.5572649992137126
pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,189032.84473582997,131227491.85468122,1080,231,3040244.4001183677,1758330640.8930562,0.062176858126428994,0.07463186320180985,0.833114107821459,1.4404972773933777,-0.2634139864348151
pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,57362.75011236153,156148635.1454352,1040,195,3040244.4001183677,1758330640.8930562,0.018867808821596114,0.08880504696552824,0.2124632491768187,0.36735991998223017,-2.234714782181372
pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,5695.483153693816,114393463.17184985,897,103,3040244.4001183677,1758330640.8930562,0.0018733635866485176,0.0650579933667933,0.02879528693863334,0.04978853682520009,-5.118023491533693
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,1801109.734235542,485877472.59440774,1145,414,4769268.646371601,1366070125.5109675,0.3776490417678197,0.35567535188771454,1.0617801873632284,3.7069216743436892,0.08648512638262786
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,2042798.933071918,411177872.37181234,1142,405,4769268.646371601,1366070125.5109675,0.42832540679503417,0.3009932394341869,1.4230399579745008,4.968163586450716,0.5089761723087399
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,717854.8094234981,192071266.23317608,1118,369,4769268.646371601,1366070125.5109675,0.1505167485102004,0.140601322469689,1.0705215702551372,3.737439875842837,0.09831386530455183
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,153032.26293890335,92992898.59651358,1086,329,4769268.646371601,1366070125.5109675,0.03208715513547939,0.0680732978929104,0.4713618427295434,1.6456338628919855,-1.085093119356034
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,48941.83475593773,108082292.25222477,1044,283,4769268.646371601,1366070125.5109675,0.010261916110171746,0.07911913907918706,0.12970206993659297,0.4528201034238364,-2.9467265909074016
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,5531.071945801903,75868323.46283291,899,154,4769268.646371601,1366070125.5109675,0.0011597316812945466,0.05553764923631207,0.020881900786976083,0.07290357415781722,-5.581603149747545
