grid_id,grid_area_km2,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,0.0,42581.17395375008
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,0.0,103280.7059698937
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,0.0,123706.65668660612
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,0.0,103973.85587695718
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,0.0,130960.95478326012
"102,141",982.0263574565336,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,0.0,38215.19617786127
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,0.0,65342.71399557917
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,0.0,158989.9103095494
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,0.0,190214.3709406479
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,0.0,158501.76499003987
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,0.0,196654.91259752534
"102,141",982.0263574565336,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,54750.24910941779
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,23024.147819584494
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,56615.242080607124
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,68087.99827237504
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,56400.58539865624
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,69452.00716737485
"102,141",982.0263574565336,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,18928.767279283675
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,0.0,199682.673515921
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,0.0,451721.8710934461
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,0.0,343583.04563141713
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,0.0,185025.12409833178
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,0.0,131125.20434705884
"103,141",1453.4043743663183,pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,0.0,15646.511350981395
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,0.0,92957.77257745966
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,0.0,209759.2110076642
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,0.0,160334.96492154177
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,0.0,85426.74044915834
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,0.0,60753.23127854664
"103,141",1453.4043743663183,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,0.0,6948.848260155846
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,0.0,141522.26023694396
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,0.0,320469.50106013427
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,0.0,244194.85598848757
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,0.0,126786.18011769782
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,0.0,86108.9782963678
"103,141",1453.4043743663183,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,8391.195482489642
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,51139.18874069383
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,115777.72987320097
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,88560.89619040958
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,45714.16425625671
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,30270.75855745895
"103,141",1453.4043743663183,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,2757.8215921476776
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,0.0,248671.32064731914
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,0.0,450037.0671288837
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,0.0,316476.09638902725
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,0.0,180520.24478002713
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,0.0,150704.26435361936
"104,141",2205.7437286092463,pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,0.0,42306.933396830274
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,0.0,108925.49991942667
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,0.0,201335.4372413177
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,0.0,145933.0313615715
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,0.0,85667.25043389751
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,0.0,77918.12094979941
"104,141",2205.7437286092463,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,0.0,23669.382081036478
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,0.0,154517.70634696062
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,0.0,282858.15422917163
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,0.0,201433.26273295272
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,0.0,118576.48624723473
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,0.0,101724.16778562115
"104,141",2205.7437286092463,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,25727.029112246455
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,55058.744297032266
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,101295.31961665339
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,71640.70818614586
