outcome,model,term,coef,std_err_hc3,p_value,ci_low,ci_high,n,r2,r2_adj,aic,bic,buffer_km
delta_vol_pct,M2 — + nível inicial,vol_pct_first_c,-0.4985059210220675,0.1591113004390425,0.0017299159284152386,-0.8103583394159228,-0.18665350262821206,221,0.32093665512835123,0.3147067161845747,1549.3831885369111,1559.5776766414644,25
delta_vol_pct,M3 — + escala e UF,Intercept,-10.920317916375767,12.846226720833686,0.39528071812630994,-36.09845962644587,14.257823793694337,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,C(uf_x)[T.MG],0.6718097155031958,2.399061364413083,0.7794543090025712,-4.030264155447969,5.373883586454361,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,C(uf_x)[T.MS],1.4952804985021895,2.27370455188897,0.5107690789688706,-2.961098534684974,5.951659531689353,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,C(uf_x)[T.MT],-1.6030767255083531,4.546509574005155,0.7243920565139768,-10.514071745925001,7.307918294908294,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,C(uf_x)[T.PR],3.936702845067903,3.166674117840063,0.21380652357836205,-2.269864376673768,10.143270066809574,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,C(uf_x)[T.SP],0.9958024919207441,2.366058404087299,0.6738501698045929,-3.64158676540868,5.633191749250169,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,frontier_year_c,-0.1123087703557559,0.09400682800214782,0.23220919783931526,-0.2965587675408171,0.07194122682930529,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,vol_pct_first_c,-0.5019497317592172,0.16404747838098457,0.0022149720520005787,-0.8234768811405602,-0.18042258237787429,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M3 — + escala e UF,log_cane_area,0.7575350257916178,1.2474167246711623,0.543663088983022,-1.687356828276777,3.2024268798600124,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25
delta_vol_pct,M4 — + topografia,Intercept,-18.748298565429685,15.970296112664293,0.2404158198699775,-50.04950376869173,12.552906637832358,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,C(uf_x)[T.MG],0.9104789579806417,2.4649647403700174,0.7118534883015883,-3.9207631563057177,5.741721072267001,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,C(uf_x)[T.MS],1.356090058387931,2.2926266101268524,0.5541850407097149,-3.137375527458852,5.849555644234714,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,C(uf_x)[T.MT],-2.168727413740818,4.6188936679573125,0.6386880198507978,-11.221592651357257,6.884137823875621,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,C(uf_x)[T.PR],4.640540908438292,3.140801974206878,0.1395411473094935,-1.5153178435794885,10.796399660456073,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,C(uf_x)[T.SP],1.5918310853887543,2.5184081942982948,0.5273357360694919,-3.3441582738064546,6.527820444583963,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,frontier_year_c,-0.13540486190690365,0.08940406945724855,0.12989227428455494,-0.31063361811442824,0.03982389430062097,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,vol_pct_first_c,-0.5083485152372353,0.1629576740905849,0.0018115052188441118,-0.8277396874591976,-0.18895734301527306,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M4 — + topografia,log_cane_area,0.5433631008821617,1.263785091185698,0.6672327606969595,-1.9336101620404746,3.0203363638047978,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
