cnpj_clean,emissor,cidade,uf,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026
02773950000184,GOIASA GOIATUBA ÁLCOOL LTDA. - GOIATUBA - GO,GOIATUBA,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5458178.81561681,7995713.47454414,62.8,63.29,63.9,62.8,t0_2022,1.1000000000000014,96.72,96.47,97.23,96.72,t0_2022,0.5100000000000051,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219232/2019-04,48610.205457/2023-51,48610.232569/2023-85,True,True,True
02783009000141,ANICUNS S.A. ÁLCOOL E DERIVADOS - Anicuns - GO,Anicuns,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5432875.6795387,8180131.2482969,60.8,48.77,57.15,60.8,t0_2022,-3.6499999999999986,100.0,79.23,79.22,100.0,t0_2022,-20.78,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219054/2019-11,48610.215958/2023-46,48610.200578/2024-98,True,True,True
02859452000230,Vale do Verdão Sociedade Anônima Açúcar e Álcool - Turvelândia - GO,Turvelândia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5390070.82022688,8008629.18311183,60.1,61.56,65.38,60.1,t0_2022,5.279999999999994,91.35,97.17,96.81,91.35,t0_2022,5.460000000000008,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200434/2020-16,48610.206156/2022-64,48610.209637/2025-74,True,True,True
02896264000109,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL) - INHUMAS - GO,INHUMAS,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5482540.94731307,8186858.98042968,64.14,64.14,61.35,64.14,t0_2022,-2.789999999999999,95.72,95.72,90.88,95.72,t0_2022,-4.840000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.205783/2021-05,48610.205783/2021-05,48610.230284/2024-91,True,True,True
03345641000338,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA - Astorga - PR,Astorga,PR,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5241507.72865172,7442842.79367438,46.22,46.22,51.42,46.22,t0_2022,5.200000000000003,90.01,90.01,91.16,90.01,t0_2022,1.1499999999999915,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.215700/2020-05,48610.215700/2020-05,48610.233676/2023-21,True,True,True
03347747000109,COOPERATIVA AGROINDUSTRIAL DE RUBIATABA – Rubiataba - GO,Rubiataba,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5455886.18579172,8317126.04943407,64.0,65.01,64.87,64.0,t0_2022,0.8700000000000045,85.94,84.78,93.33,85.94,t0_2022,7.390000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.221526/2019-98,48610.206112/2022-34,48610.215932/2025-60,True,True,True
03445208000455,UMOE BIOENERGY S.A. - Sandovalina - SP,Sandovalina,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5223359.88634961,7502626.33872067,48.8,64.75,63.74,48.8,t0_2022,14.940000000000005,97.06,96.7,94.4,97.06,t0_2022,-2.6599999999999966,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219057/2019-47,48610.226920/2022-18,48610.222728/2025-03,True,True,True
03937452000435,CRV industrial Ltda. - Capinópolis - MG,Capinópolis,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5454944.6800123,7925846.62700244,61.55,61.55,61.99,61.55,t0_2022,0.44000000000000483,99.24,99.24,94.37,99.24,t0_2022,-4.86999999999999,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.201311/2021-75,48610.201311/2021-75,48610.211054/2024-22,True,True,True
04165520000105,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Lambari D'Oeste - MT,Lambari D'Oeste,MT,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4576007.98289422,8293081.4394439,59.24,59.24,56.53,59.24,t0_2022,-2.710000000000001,90.14,90.14,77.97,90.14,t0_2022,-12.170000000000002,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219560/2020-36,48610.219560/2020-36,48610.200575/2024-54,True,True,True
04165520000296,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Mirassol D'oeste - MT,Mirassol D'oeste,MT,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4557407.19929998,8257542.15927619,64.29,64.29,50.22,64.29,t0_2022,-14.070000000000007,91.13,91.13,66.56,91.13,t0_2022,-24.569999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219561/2020-81,48610.219561/2020-81,48610.200576/2024-07,True,True,True
04171382000177,CENTRAL ENERGETICA MORENO DE MONTE APRAZÍVEL AÇÚCAR E ÁLCOOL LTDA EM RECUPERAÇÃO JUDICIAL - Monte Aprazível - SP,Monte Aprazível,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5440882.40687005,7689999.2280727,59.2,61.01,58.74,59.2,t0_2022,-0.46000000000000085,91.32,91.33,95.63,91.32,t0_2022,4.310000000000002,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.222645/2019-68,48610.230498/2022-03,48610.224108/2025-09,True,True,True
04248044000277,Onda Verde Agrocomercial S. A. - Onda Verde - SP,Onda Verde,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2023,5500144.19989923,7713489.50674341,,53.66,52.04,53.66,t1_2023,-1.6199999999999974,,90.47,92.11,90.47,t1_2023,1.6400000000000006,,valido,valido,,sem_motivo,sem_motivo,,48610.219774/2021-93,48610.224495/2024-94,False,True,True
04969941000199,Usina Bela Vista S.A. - Pontal - SP,Pontal,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5615412.58213949,7671897.6575594,65.2,64.97,64.97,65.2,t0_2022,-0.23000000000000398,98.11,99.4,99.4,98.11,t0_2022,1.2900000000000063,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.221796/2019-07,48610.202260/2022-80,48610.202260/2022-80,True,True,True
05242560000176,USINA VERTENTE LTDA. - Guaraci - SP,Guaraci,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5521576.11089507,7734603.6637713,64.1,67.36,67.04,64.1,t0_2022,2.940000000000012,98.94,98.5,93.04,98.94,t0_2022,-5.8999999999999915,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.209090/2019-69,48610.233249/2022-61,48610.209806/2025-76,True,True,True
05553456000100,Usina Ouroeste Açúcar e Álcool Ltda. - Ouroeste - SP,Ouroeste,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5373059.22220696,7789234.84327185,55.3,61.02,64.72,55.3,t0_2022,9.420000000000002,97.83,93.71,98.04,97.83,t0_2022,0.21000000000000796,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218816/2019-54,48610.219698/2021-16,48610.216456/2024-13,True,True,True
05620523000235,Usina Eldorado em Recuperacao Judicial - Rio Brilhante/MS,Rio Brilhante,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4998667.05441077,7581265.61271929,58.8,60.2,65.44,58.8,t0_2022,6.640000000000001,,99.67,87.31,99.67,t1_2023,-12.36,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.215175/2019-86,48610.222444/2021-85,48610.225532/2024-81,True,True,True
05643160000172,ENERGÉTICA SERRANÓPOLIS LTDA. - Serranópolis​ - GO,Serranópolis​,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5200073.40995457,7965283.74478764,63.3,63.3,63.36,63.3,t0_2022,0.060000000000002274,68.0,68.0,70.25,68.0,t0_2022,2.25,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218423/2020-84,48610.218423/2020-84,48610.204538/2024-15,True,True,True
05928246000141,COPLASA - ACUCAR E ALCOOL LTDA EM RECUPERACAO JUDICIAL - Planalto - SP,Planalto,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5426788.99141756,7672471.74730586,58.6,60.99,58.56,58.6,t0_2022,-0.03999999999999915,92.53,93.44,96.84,92.53,t0_2022,4.310000000000002,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.222647/2019-57,48610.230499/2022-40,48610.224111/2025-14,True,True,True
05938884000143,VALE DO PARANÁ S.A. AÇÚCAR E ÁLCOOL – Suzanápolis/SP,Suzanápolis,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5309810.66592045,7741669.95860548,66.4,62.05,62.51,66.4,t0_2022,-3.8900000000000077,100.0,99.8,99.15,100.0,t0_2022,-0.8499999999999943,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.207272/2019-03,48610.203425/2022-31,	48610.212274/2025-54,True,True,True
05980986000127,AGROINDUSTRIAL SANTA JULIANA LTDA. - SANTA JULIANA - MG,SANTA JULIANA,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5689655.69486325,7824882.09653371,52.8,63.38,66.59,52.8,t0_2022,13.790000000000006,97.69,92.3,94.6,97.69,t0_2022,-3.0900000000000034,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218815/2019-18,48610.219700/2021-57,48610.216461/2024-26,True,True,True
06044698000808,Sada Bio-Energia e Agricultura Ltda. - Jaíba - MG,Jaíba,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,6086551.59796969,8293728.10478262,61.05,61.05,59.24,61.05,t0_2022,-1.8099999999999952,95.61,95.61,98.66,95.61,t0_2022,3.049999999999997,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219883/2020-20,48610.219883/2020-20,48610.214531/2023-21,True,True,True
06059962000100,USINA ITAPAGIPE ACUCAR E ALCOOL LTDA. - Itapagipe - MG,Itapagipe,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5451352.76360256,7794240.56472791,51.2,55.86,61.57,51.2,t0_2022,10.369999999999997,98.52,84.7,80.33,98.52,t0_2022,-18.189999999999998,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218812/2019-76,48610.219706/2021-24,48610.216451/2024-91,True,True,True
06252818003799,Abengoa Bioenergia Agroindustrial Ltda. - Em Recuperação Judicial - Unidade São João - São João da Boa Vista - SP,São João da Boa Vista,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5730700.17016266,7557336.91796437,63.0,59.02,60.1,63.0,t0_2022,-2.8999999999999986,100.0,90.38,93.2,100.0,t0_2022,-6.799999999999997,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.210932/2019-25,48610.214767/2022-86,48610.236202/2023-31,True,True,True
06315338002324,COFCO INTERNATIONAL BRASIL S.A. - Unidade Sebastianópolis - Sebastianópolis do Sul - SP,Sebastianópolis do Sul,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5422166.47710356,7717572.31613689,60.7,66.2,62.78,60.7,t0_2022,2.0799999999999983,75.39,0.8239,94.1,75.39,t0_2022,18.709999999999994,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.215184/2019-77,48610.222887/2021-76,48610.223733/2024-44,True,True,True
06315338002405,COFCO INTERNATIONAL BRASIL S.A. - Unidade Meridiano - Meridiano - SP,Meridiano,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5395909.59594227,7732321.44576074,60.2,68.99,62.78,60.2,t0_2022,2.5799999999999983,87.9,85.1,,87.9,t0_2022,,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.215187/2019-19,48610.232909/2022-97, 48610.222456/2025-33,True,True,True
06315338015060,COFCO INTERNATIONAL BRASIL S.A. - Unidade Potirendaba - Potirendaba - SP,Potirendaba,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5485225.81406155,7658752.52785581,67.4,67.4,64.42,67.4,t0_2022,-2.980000000000004,83.51,83.51,90.73,83.51,t0_2022,7.219999999999999,valido,cancelado,valido,sem_motivo,renovacao,sem_motivo,48610.215186/2019-66,48610.215186/2019-66,48610.223732/2024-08,True,True,True
06315338015140,COFCO INTERNATIONAL BRASIL S.A. - Unidade Catanduva - Catanduva- SP,Catanduva,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5521680.83072561,7657596.1707727,63.48,63.48,61.51,63.48,t0_2022,-1.9699999999999989,86.22,86.22,92.61,86.22,t0_2022,6.390000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.212003/2020-94,48610.212003/2020-94,48610.223731/2024-55,True,True,True
07130855000186,CENTRAL ENERGÉTICA MORRINHOS S.A. - Morrinhos-GO,Morrinhos,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5504739.83919693,8010461.16768676,63.3,60.8,63.3,63.3,t0_2022,0.0,92.87,97.53,92.87,92.87,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.218377/2019-80,48610.224388/2022-02,48610.218377/2019-80,True,True,True
07280328000158,Ipiranga Agroindustrial S. A. - Unidade Iacanga - Iacanga - SP,Iacanga,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5515658.18969742,7580350.79504414,59.42,63.42,64.7,59.42,t0_2022,5.280000000000001,91.02,92.95,92.91,91.02,t0_2022,1.8900000000000006,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.214197/2021-43,48610.233108/2022-49,48610.223240/2024-12,True,True,True
07280328001715,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,Mococa,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5709618.00659163,7622736.31428334,63.9,65.47,67.18,63.9,t0_2022,3.2800000000000082,89.08,94.51,93.65,89.08,t0_2022,4.570000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219091/2019-11,48610.218001/2022-71,48610.223242/2024-01,True,True,True
07280328001804,IPIRANGA AGROINDUSTRIAL S.A. - DESCALVADO - Descalvado - SP,Descalvado,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5645857.24932531,7571700.07898056,62.3,61.95,64.62,62.3,t0_2022,2.3200000000000074,95.53,96.06,97.91,95.53,t0_2022,2.3799999999999955,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219089/2019-42,48610.218002/2022-15,48610.223243/2024-48,True,True,True
07298800000180,CONQUISTA DO PONTAL S. A. - EM RECUPERACAO JUDICIAL - Mirante do Paranapanema/SP,Mirante do Paranapanema,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5194336.60478394,7520927.01396112,59.4,62.67,60.66,59.4,t0_2022,1.259999999999998,99.19,99.56,97.38,99.19,t0_2022,-1.8100000000000023,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.210086/2019-43,48610.222446/2021-74,48610.225538/2024-59,True,True,True
07300906000170,USINA NOVA GÁLIA LTDA. - Paraúna - GO,Paraúna,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5372760.88105837,8079751.79798872,48.92,48.92,51.2,48.92,t0_2022,2.280000000000001,93.19,93.19,78.08,93.19,t0_2022,-15.11,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200351/2021-08,48610.200351/2021-08,48610.228944/2024-73,True,True,True
07398533000112,USINA GUARIROBA LTDA. - Pontes Gestal - SP,Pontes Gestal,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5443277.70642288,7769467.69587937,56.0,61.63,67.33,56.0,t0_2022,11.329999999999998,99.29,81.65,71.7,99.29,t0_2022,-27.590000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218817/2019-07,48610.219696/2021-27,48610.228201/2025-84,True,True,True
07455944000100,Usina Frutal Açúcar e Álcool Ltda. - Frutal - MG,Frutal,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5541792.10574911,7769934.94690167,50.7,59.37,63.47,50.7,t0_2022,12.769999999999996,97.3,94.21,91.62,97.3,t0_2022,-5.679999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.218818/2019-43,48610.219704/2021-35,48610.216449/2024-11,True,True,True
07458537000149,Atena - Tecnologias em Energia Natural Ltda. - Martinópolis-SP,Martinópolis,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5306541.87663521,7546389.39865535,55.9,62.45,62.45,55.9,t0_2022,6.550000000000004,86.79,88.54,88.54,86.79,t0_2022,1.75,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.208481/2020-08,48610.220363/2023-11,48610.220363/2023-11,True,True,True
07459492000127,DESTILARIA VALE DO PARACATU - AGROENERGIA S.A. - Paracatu - MG,Paracatu,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5788436.96878321,8099528.94234388,58.2,59.59,58.2,58.2,t0_2022,0.0,95.42,99.78,95.42,95.42,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.221423/2019-28,48610.220357/2022-74,48610.221423/2019-28,True,True,True
07670089000142,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,Campos de Julio,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4435217.90773278,8416022.37972843,63.47,63.47,63.55,63.47,t0_2022,0.0799999999999983,35.08,35.08,68.91,35.08,t0_2022,33.83,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219881/2020-31,48610.219881/2020-31,48610.227294/2024-49,True,True,True
07674341000191,USINA UBERABA S/A - Uberaba - MG,Uberaba,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5649070.45002857,7843049.67257957,55.1,56.63,58.66,55.1,t0_2022,3.559999999999995,100.0,99.18,96.24,100.0,t0_2022,-3.760000000000005,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219069/2019-71,48610.223730/2022-49,48610.224642/2025-15,True,True,True
07863768000138,CENTRAL ENERGÉTICA VICENTINA LTDA. - Vicentina - MS,Vicentina,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4957691.64645764,7512525.16902396,46.22,51.14,46.22,46.22,t0_2022,0.0,94.44,96.07,94.44,94.44,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.219074/2020-18,48610.210843/2022-84,48610.219074/2020-18,True,True,True
07895728000682,IACO Agrícola S. A. - Paraíso das Águas - MS,Paraíso das Águas,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5115681.32211249,7920403.46115419,60.0,60.0,65.6,60.0,t0_2022,5.599999999999994,80.6,80.6,84.03,80.6,t0_2022,3.430000000000007,valido,cancelado,valido,sem_motivo,expirado,sem_motivo,48610.223244/2019-25,48610.223244/2019-25,48610.212979/2023-18,True,False,True
07903169000109,ADECOAGRO Vale do Ivinhema S.A. - Usina Angélica - Angélica - MS,Angélica,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5016136.4819986,7561787.55321358,66.4,63.49,65.6,66.4,t0_2022,-0.8000000000000114,98.99,97.31,92.97,98.99,t0_2022,-6.019999999999996,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.217426/2019-67,48610.218114/2022-76,48610.214696/2025-64,True,True,True
07903169001768,ADECOAGRO Vale do Ivinhema S.A. - Unidade Ivinhema - Ivinhema/MS,Ivinhema,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5011100.93780706,7522311.17438878,68.1,64.04,66.21,68.1,t0_2022,-1.8900000000000006,95.74,94.75,93.67,95.74,t0_2022,-2.069999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.217429/2019-09,48610.205660/2022-47,	48610.205330/2025-02,True,True,True
07912062000119,USINA LAGUNA - ÁLCOOL E AÇÚCAR LTDA - Batayporã-MS,Batayporã,MS,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5071846.17405905,7515313.57003671,60.0,63.02,61.77,60.0,t0_2022,1.7700000000000031,100.0,96.96,95.87,100.0,t0_2022,-4.1299999999999955,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.221082/2019-91,48610.219690/2022-31,48610.221836/2025-51,True,True,True
07930999000206,Bambuí Bioenergia S.A. - Bambuí - MG,Bambuí,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5832071.41350924,7758293.75850072,65.4,62.05,62.05,65.4,t0_2022,-3.3500000000000085,98.05,99.19,99.19,98.05,t0_2022,1.1400000000000006,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.221504/2019-28,48610.222467/2022-71,48610.222467/2022-71,True,True,True
07969961000239,PARAPUÃ AGROINDUSTRIAL S/A - EM RECUPERAÇÃO JUDICIAL - Parapuã - SP,Parapuã,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5323843.36083459,7572181.42258664,48.64,48.64,57.72,48.64,t0_2022,9.079999999999998,92.46,92.46,96.34,92.46,t0_2022,3.8800000000000097,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.217630/2020-11,48610.217630/2020-11,48610.218728/2025-09,True,True,True
07981751000185,SANTA VITÓRIA AÇÚCAR E ÁLCOOL LTDA. - SANTA VITÓRIA - MG,SANTA VITÓRIA,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5397129.40015537,7918670.58547895,55.27,55.27,61.81,55.27,t0_2022,6.539999999999999,98.47,98.47,98.28,98.47,t0_2022,-0.18999999999999773,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.205780/2021-63,48610.205780/2021-63,48610.236852/2023-86,True,True,True
