geocode,municipio,uf,cidade_uf_seeg,muni_key
3514304,Dourado,SP,Dourado (SP),DOURADO|SP
3514403,Dracena,SP,Dracena (SP),DRACENA|SP
3514502,Duartina,SP,Duartina (SP),DUARTINA|SP
3514601,Dumont,SP,Dumont (SP),DUMONT|SP
3514700,Echaporã,SP,Echaporã (SP),ECHAPORA|SP
3514809,Eldorado,SP,Eldorado (SP),ELDORADO|SP
3514908,Elias Fausto,SP,Elias Fausto (SP),ELIAS FAUSTO|SP
3514924,Elisiário,SP,Elisiário (SP),ELISIARIO|SP
3514957,Embaúba,SP,Embaúba (SP),EMBAUBA|SP
3515004,Embu das Artes,SP,Embu das Artes (SP),EMBU DAS ARTES|SP
3515103,Embu-Guaçu,SP,Embu-Guaçu (SP),EMBU GUACU|SP
3515129,Emilianópolis,SP,Emilianópolis (SP),EMILIANOPOLIS|SP
3515152,Engenheiro Coelho,SP,Engenheiro Coelho (SP),ENGENHEIRO COELHO|SP
3515186,Espírito Santo do Pinhal,SP,Espírito Santo do Pinhal (SP),ESPIRITO SANTO DO PINHAL|SP
3515194,Espírito Santo do Turvo,SP,Espírito Santo do Turvo (SP),ESPIRITO SANTO DO TURVO|SP
3557303,Estiva Gerbi,SP,Estiva Gerbi (SP),ESTIVA GERBI|SP
3515202,Estrela d'Oeste,SP,Estrela d'Oeste (SP),ESTRELA DOESTE|SP
3515301,Estrela do Norte,SP,Estrela do Norte (SP),ESTRELA DO NORTE|SP
3515350,Euclides da Cunha Paulista,SP,Euclides da Cunha Paulista (SP),EUCLIDES DA CUNHA PAULISTA|SP
3515400,Fartura,SP,Fartura (SP),FARTURA|SP
3515608,Fernando Prestes,SP,Fernando Prestes (SP),FERNANDO PRESTES|SP
3515509,Fernandópolis,SP,Fernandópolis (SP),FERNANDOPOLIS|SP
3515657,Fernão,SP,Fernão (SP),FERNAO|SP
3515707,Ferraz de Vasconcelos,SP,Ferraz de Vasconcelos (SP),FERRAZ DE VASCONCELOS|SP
3515806,Flora Rica,SP,Flora Rica (SP),FLORA RICA|SP
3515905,Floreal,SP,Floreal (SP),FLOREAL|SP
3516101,Florínea,SP,Florínea (SP),FLORINEA|SP
3516002,Flórida Paulista,SP,Flórida Paulista (SP),FLORIDA PAULISTA|SP
3516200,Franca,SP,Franca (SP),FRANCA|SP
3516309,Francisco Morato,SP,Francisco Morato (SP),FRANCISCO MORATO|SP
3516408,Franco da Rocha,SP,Franco da Rocha (SP),FRANCO DA ROCHA|SP
3516507,Gabriel Monteiro,SP,Gabriel Monteiro (SP),GABRIEL MONTEIRO|SP
3516705,Garça,SP,Garça (SP),GARCA|SP
3516804,Gastão Vidigal,SP,Gastão Vidigal (SP),GASTAO VIDIGAL|SP
3516853,Gavião Peixoto,SP,Gavião Peixoto (SP),GAVIAO PEIXOTO|SP
3516903,General Salgado,SP,General Salgado (SP),GENERAL SALGADO|SP
