cd_ibge,uf,nm_mun,n_usinas,neea_2022,neea_2023,neea_2025,vol_2022,vol_2023,vol_2025,log_pib_pc,log_pop,log_area_total,densidade_pop,share_vadc_ind,share_vadc_serv,pess_ocup_per_est,share_est_af,share_area_af,natveg_share,trator_per_est,share_est_at,share_est_fin_total,share_est_energia,ivs_infra,ivs_renda_t,idhm_educ,gini,share_pop_agua,uai_housing,uai_environ,uai_food,uai_mobility,uai_climate,uai_total
3541406,SP,Presidente Prudente,1,59.0,61.33,62.48,90.68,61.64,90.73,10.450336475478775,12.325063839957634,6.333297389971291,400.8309460685753,0.15106889402946325,0.7301729197372089,7.322701688555347,0.7317073170731707,0.2882150241212957,0.11174178395402216,0.8574108818011257,0.3602251407129456,0.14071294559099437,0.93,0.135,0.19,0.774,0.54,1.0,1.0,0.88,0.75,0.8,0.2,0.73
3541604,SP,Promissão,1,50.6,49.94,49.94,87.67,85.29,85.29,10.71225988664308,10.58423315037833,6.675091554283768,49.917869146597255,0.49562660041071926,0.3559659725086463,4.044423440453686,0.8572778827977315,0.3437154667867229,0.1166258118318971,0.7485822306238186,0.6474480151228733,0.16162570888468808,0.98,0.045,0.268,0.666,0.43,0.8870045056447122,0.0,0.38,0.25,0.6,0.2,0.29
3541703,SP,Quatá,1,59.0,59.0,59.14,99.04,99.04,98.06,10.44543386495991,9.539212371252827,5.792327397385465,42.51549231122332,0.2792574142460988,0.41531161918118853,10.390243902439025,0.5772357723577236,0.07136102284763202,0.12026623823731926,1.2886178861788617,0.27235772357723576,0.11382113821138211,0.76,0.328,0.275,0.7,0.41,0.9091628877852156,0.0,0.13,0.5,0.2,0.2,0.21
3541802,SP,Queiroz,1,62.36,62.36,53.02,93.9,93.9,86.89,11.732069026983156,8.091933455979893,5.467342584174642,13.85319933850655,0.43166022347582544,0.20905879952623338,6.393939393939394,0.42424242424242425,0.030733684990627317,0.11364118220752237,1.2121212121212122,0.3787878787878788,0.19696969696969696,0.77,0.143,0.289,0.681,0.42,1.0,0.0,0.5,0.5,0.2,0.0,0.24
3542107,SP,Rafard,1,60.5,62.93,59.27,91.34,95.08,88.69,10.503394908626325,9.111072370317514,4.808355897961355,74.50012342631449,0.4670213491576291,0.3296944273924016,4.101449275362318,0.4057971014492754,0.04702072538860104,0.0650045256315313,1.710144927536232,0.7971014492753623,0.43478260869565216,0.94,0.161,0.176,0.696,0.4,0.8814888447095206,0.33,0.25,0.5,0.4,0.2,0.34
3545506,SP,Sandovalina,1,48.8,64.75,64.75,97.06,96.7,96.7,11.451294712173727,8.336869637284956,5.429740287908455,18.38037782377031,0.5818263803585589,0.10973934766947066,10.03448275862069,0.7279693486590039,0.09060122823422376,0.05614514069311727,0.8237547892720306,0.5440613026819924,0.20689655172413793,0.97,0.239,0.358,0.659,0.43,0.7326305701964543,0.0,0.25,0.5,0.4,0.2,0.27
3545704,SP,Santa Albertina,1,69.2,64.59,64.59,95.13,94.45,94.45,10.45855013319517,8.699514748210191,5.603446352603538,22.18893327415298,0.3793004085581089,0.34265881796009096,5.564885496183206,0.6590330788804071,0.28806003089825644,0.05807072052078709,0.5877862595419847,0.3104325699745547,0.17557251908396945,0.83,0.112,0.238,0.665,0.42,1.0,0.33,0.5,0.25,0.2,0.0,0.26
3547502,SP,Santa Rita do Passa Quatro,1,53.52,53.52,55.38,62.59,62.59,58.9,10.074073853111662,10.225244911570808,5.932019697836157,73.39425136001489,0.13607589061948874,0.5802878132504805,3.930783242258652,0.663023679417122,0.12011412268188303,0.1788968250801378,1.138433515482696,0.48633879781420764,0.13296903460837886,0.84,0.155,0.213,0.686,0.48,0.8951069227981152,0.67,0.63,0.75,0.6,0.6,0.65
3549102,SP,São João da Boa Vista,1,63.0,59.02,60.1,100.0,90.38,93.2,10.4052623407817,11.408564449645485,6.248970877049701,174.42882589838908,0.22124090164675958,0.6201879851663941,8.121993127147766,0.6632302405498282,0.1896767379158907,0.12546468401486988,1.5051546391752577,0.3436426116838488,0.17525773195876287,0.95,0.092,0.182,0.749,0.51,1.0,1.0,0.75,0.25,0.4,0.6,0.6
3549409,SP,São Joaquim da Barra,1,62.9,64.15,64.15,99.36,100.0,100.0,10.41900216578825,10.838050329197731,5.326977707041248,248.61948587749922,0.36068491984019657,0.4695574693658446,47.83216783216783,0.5104895104895105,0.02975889926786165,0.09008129287405707,4.258741258741258,0.36363636363636365,0.17482517482517482,0.83,0.089,0.213,0.706,0.42,1.0,0.33,0.5,0.25,0.4,0.0,0.3
