buffer_km,outcome,model,n,coef_frontier_year,std_err_frontier_year,p_value_frontier_year,ci_low_frontier_year,ci_high_frontier_year,effect_per_decade,ci_low_per_decade,ci_high_per_decade,r2,r2_adj,aic,bic,frontier_source_method,topography_source_method,topography_included,prior_use_included
50,delta_neea,M3 — + escala e UF,227,0.34995417383498384,0.09086295416840419,0.00011742024756708323,0.17186605613599806,0.5280422915339696,3.4995417383498384,1.7186605613599806,5.280422915339696,0.31563971987933415,0.2905255811593097,1271.3321727451298,1302.1567229024624,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
50,delta_neea,M5b — + uso anterior sem topografia,227,0.362792593157899,0.12464780995304107,0.0036080333139046536,0.11848737489814523,0.6070978114176528,3.6279259315789902,1.1848737489814523,6.070978114176528,0.32034072726777085,0.2855674621512382,1275.7674841744042,1316.866884384181,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
50,delta_vol_pct,M3 — + escala e UF,223,-0.07595469343147171,0.21948630963398996,0.7293001535325292,-0.5061399554136987,0.3542305685507553,-0.7595469343147171,-5.061399554136987,3.5423056855075528,0.32958146881520345,0.304519093817641,1570.6346686314484,1601.2992145745895,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
50,delta_vol_pct,M5b — + uso anterior sem topografia,223,0.3249420871942331,0.3031220535941586,0.28372707691026433,-0.26916622077013785,0.9190503951586041,3.2494208719423314,-2.6916622077013788,9.190503951586042,0.35655288616960723,0.3230082499035678,1567.4777640687944,1608.3638253263157,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
100,delta_neea,M3 — + escala e UF,227,0.4597669871248374,0.1051782535811633,1.2350202916661798e-05,0.25362139814893636,0.6659125761007384,4.597669871248374,2.5362139814893636,6.659125761007384,0.3054966179693447,0.28001025532601787,1274.6719165200989,1305.4964666774315,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
100,delta_neea,M5b — + uso anterior sem topografia,227,0.5025837445578293,0.20616203831675556,0.014776564935391014,0.09851357447762177,0.9066539146380368,5.025837445578293,0.9851357447762177,9.066539146380368,0.31640605621704343,0.2814314823490782,1277.0778391368583,1318.1772393466351,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
100,delta_vol_pct,M3 — + escala e UF,223,-0.05452295707886275,0.2671673408650185,0.8382926030708024,-0.5781613230196352,0.46911540886190967,-0.5452295707886274,-5.781613230196352,4.691154088619097,0.3301312491002386,0.30508942663669614,1570.4517212707178,1601.116267213859,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
100,delta_vol_pct,M5b — + uso anterior sem topografia,223,0.3836293098091974,0.3691824694782649,0.2987433604432638,-0.33995503409175953,1.1072136537101542,3.836293098091974,-3.399550340917595,11.072136537101542,0.3508630570413014,0.31702179461217495,1569.4410253117615,1610.327086569283,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
150,delta_neea,M3 — + escala e UF,228,0.40382983811757744,0.1268723458370474,0.0014577681428091594,0.15516460964285428,0.6524950665923006,4.038298381175775,1.5516460964285428,6.524950665923006,0.2865966316309525,0.2605362346129051,1289.0714791187045,1319.9355897792943,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
150,delta_neea,M5b — + uso anterior sem topografia,228,0.4446515821632476,0.22001227805965087,0.0432765806900383,0.013435441009719995,0.8758677233167753,4.4465158216324765,0.13435441009719995,8.758677233167752,0.2959811002946984,0.2601282859578544,1292.0523504252697,1333.204497972723,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
150,delta_vol_pct,M3 — + escala e UF,224,-0.1426167663539046,0.2946154634080189,0.6283307498432757,-0.7200524639221999,0.43481893121439064,-1.4261676635390461,-7.2005246392219995,4.348189312143907,0.32610497907398317,0.3010298155046429,1577.7806660950632,1608.4854805617585,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
150,delta_vol_pct,M5b — + uso anterior sem topografia,224,0.19776333698083537,0.38585639129737537,0.6082794756494743,-0.5585012931666147,0.9540279671282854,1.9776333698083537,-5.585012931666147,9.540279671282853,0.3404695992627842,0.3062486822434004,1578.9543003295635,1619.894052951824,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
