schema,model,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
pre_renovabio_1985_2015,M0_frontier,neea_first_c,-0.3601592920357111,0.05739648202898577,3.4977654643453924e-10,-0.4726543296518237,-0.24766425441959855,225,0.29441468202839993,0.2682818924738962,1266.550635574661,1297.2955391945009
pre_renovabio_1985_2015,M0_frontier,frontier_decade_c,1.652170436354664,0.4925577634679387,0.000795754305606292,0.6867749596519055,2.6175659130574225,225,0.29441468202839993,0.2682818924738962,1266.550635574661,1297.2955391945009
pre_renovabio_1985_2015,M0_frontier,log_cane_area,1.5405405266285896,0.5742530421122304,0.007303355321289571,0.41502524607605507,2.6660558071811242,225,0.29441468202839993,0.2682818924738962,1266.550635574661,1297.2955391945009
pre_renovabio_1985_2015,M1_frontier_plus_slope,Intercept,-13.099615512195776,6.337728437567156,0.038741129999450466,-25.52133499362271,-0.6778960307688404,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,C(uf)[T.MG],0.24457340943363381,0.8611784628588856,0.7764115143695001,-1.4433053620313465,1.9324521808986141,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,C(uf)[T.MS],-1.8154731687163495,1.7307124429489071,0.29418986837568006,-5.20760722449154,1.5766608870588417,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,C(uf)[T.MT],-3.820817555054977,2.163550611314355,0.07739684332767845,-8.06129883196073,0.4196637218507764,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,C(uf)[T.PR],-1.2613543209897626,0.9585140445106624,0.18819160815014235,-3.140007326906483,0.6172986849269579,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,C(uf)[T.SP],-1.1172320178562791,1.0190926029350722,0.2729471671557322,-3.1146168165201984,0.8801527808076401,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,neea_first_c,-0.3590110862062478,0.05681516771108792,2.633799825970976e-10,-0.4703667686955831,-0.24765540371691247,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,frontier_decade_c,1.534468245913236,0.5206999113377575,0.0032094174911877155,0.5139151729380318,2.55502131888844,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,share_slope_le12_c,5.793896627660451,4.917986209377177,0.23875535812884852,-3.8451792191834775,15.432972474504378,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M1_frontier_plus_slope,log_cane_area,1.403432098318287,0.6065676947131095,0.020682697736934055,0.214581262495106,2.592282934141468,225,0.2988923049407016,0.2695436107289171,1267.1182426523806,1301.2792466744247
pre_renovabio_1985_2015,M2_frontier_x_slope,Intercept,-13.396567928264139,6.2896269806902385,0.03317604425449429,-25.724010286608408,-1.0691255699198692,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,C(uf)[T.MG],0.3191269038687731,0.8652550402488532,0.7122588465289124,-1.376741812460734,2.01499562019828,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,C(uf)[T.MS],-1.9253696285135373,1.7309558729455092,0.26600237746740485,-5.317980798314825,1.4672415412877504,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,C(uf)[T.MT],-3.894628328294458,2.1649870687770734,0.07203208246462196,-8.137925010092463,0.34866835350354686,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,C(uf)[T.PR],-1.074512060056108,0.9925618577893254,0.2790018482476665,-3.0198975537513526,0.8708734336391366,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,C(uf)[T.SP],-0.9752165257705796,1.0448549142245107,0.3506386985496013,-3.023094526720308,1.072661475179149,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,neea_first_c,-0.3570557313604587,0.057506747321657344,5.334443636028807e-10,-0.4697668849789523,-0.2443445777419651,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,frontier_decade_c,1.52943869622394,0.5185783036566283,0.0031850317877651583,0.5130438978930727,2.545833494554807,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,share_slope_le12_c,7.105877501852693,5.360642204290337,0.18498396073652013,-3.4007881525617742,17.61254315626716,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,frontier_decade_c:share_slope_le12_c,5.189402582426786,6.15041574570632,0.3988100935819753,-6.865190769105662,17.243995933959233,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
pre_renovabio_1985_2015,M2_frontier_x_slope,log_cane_area,1.4139201589887584,0.6035617605752805,0.019148508793988602,0.23096084581562137,2.5968794721618957,225,0.30088259014456065,0.26821355230084865,1268.4786105376825,1306.055714961931
