cidade,cnpj_clean,dem_area_1985,dem_area_1990,dem_area_1995,dem_area_2000,dem_area_2005,dem_area_2010,dem_area_2015,dem_area_le12_1985,dem_area_le12_1990,dem_area_le12_1995,dem_area_le12_2000,dem_area_le12_2005,dem_area_le12_2010,dem_area_le12_2015,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1990,dem_slope_x_area_1995,dem_slope_x_area_2000,dem_slope_x_area_2005,dem_slope_x_area_2010,dem_slope_x_area_2015,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2015,mean_slope_pct_2015
Ubarana,51843514009600,395.59012456472016,7072.973143162711,7549.893400775362,10988.570755889194,13799.111324046262,32909.44274284305,20614.951596303756,336.47491783341945,6417.808432700002,6908.016598672493,9879.877432503567,12589.6869739711,29072.059315553575,18059.15130459327,83263.07497582743,93330.53308758506,39190242.54097382,3015.364614566927,47155.77470246694,48936.53880788648,74458.82919921122,90166.98862921579,232914.7613312246,147997.82552202095,644646.0828065929,TIETÊ AGROINDUSTRIAL S.A. - Unidade Ubarana - Ubarana - SP,SP,pre_renovabio_1985_2015,0.8921311410242355,6.90712954785795,419.90805414339746,0.8505645033572389,7.6224466368689665,0.9073706774786722,6.667037149441377,0.9149820046416881,6.481752285782044,0.8991048655903284,6.7760249129128916,0.9123549102783435,6.534260541263353,0.8833956728688758,7.077444706409607,0.8760220086003627,7.179149794780835
Guaíra,51990778000126,86814.78299888934,13068.94609754658,14436.74882928995,10648.075962534898,7888.456177867833,12537.563025269876,4172.962645476005,85818.5267711551,12758.729147336559,14091.372369269824,10418.079476041565,7742.459144436437,12325.412786452323,4092.614963075285,147247.19465776713,149567.5357368745,81163827.66254474,380281.95751440816,62415.16122775779,68891.13586916935,50854.06297814321,35359.333759535344,54108.06048642187,17659.250474508543,669568.9623099444,Açúcar e Alcool Oswaldo Ribeiro Mendonça Ltda - Guaíra-SP,SP,pre_renovabio_1985_2015,0.9844863320928854,4.476699833364095,542.6567153271253,0.9885243481199857,4.380382515259795,0.97626304769378,4.77583737524749,0.9760765762358204,4.771928685868649,0.9784001835352628,4.775892204100768,0.9814923186312411,4.482414931674578,0.9830788297223347,4.315676051028838,0.9807456502185979,4.231825677532317
São Joaquim da Barra,53009825000133,62291.17810962577,21918.775924044086,19489.292810651572,12331.912273650196,12848.31449123884,18513.07637486724,3929.0092571714054,60671.20238863464,20489.18274501819,17910.194903946132,11201.179431334287,11838.457400587404,17362.423082950827,3515.4034958029783,142988.04344827443,151321.55924124908,97576692.65287416,321867.9843474232,136098.0596050179,125765.42634077143,82346.99404674121,77671.64052483546,109000.79966788852,26464.38519023195,879215.2897229095,Usina Alta Mogiana S/A Açúcar e Álcool - São Joaquim da Barra - SP,SP,pre_renovabio_1985_2015,0.9449284303257233,5.810244714179777,644.8300767064493,0.9739934968296772,5.1671519806700426,0.9347776908719759,6.209199823778633,0.9189761310455345,6.453052327893411,0.9083083939275205,6.677552695756149,0.9214015899641895,6.045278591040024,0.93784645681695,5.887773455948387,0.8947302654954312,6.735638288947261
Novo Horizonte,53172300000114,5170.307924014301,18415.659996068855,11422.555971001058,17095.94540241881,22900.048418587103,24159.89472361935,10955.095829044223,4920.419040144863,17445.969520552688,10794.741103363796,15967.771861275418,21551.620694090372,22489.65677694476,10159.359734367592,103329.5387307395,110119.50826475369,50403203.355719,29494.025465367533,107195.53126901179,66976.1460419951,104624.42726811608,136076.15815357023,147712.00986542262,68158.01766263679,660236.31572612,USINA SÃO JOSÉ DA ESTIVA S.A. AÇÚCAR E ÁLCOOL - Novo Horizonte - SP,SP,pre_renovabio_1985_2015,0.9383399940572793,5.995634435078966,457.7136617295604,0.9516684716767468,5.704500756788186,0.947344245293236,5.820890008389303,0.9450372693089775,5.863499046275664,0.9340092919936577,6.119838640413145,0.9411168177530025,5.942177748546696,0.9308673334142586,6.113934334366758,0.9273638398883769,6.221581146002922
Ourinhos,53408860000125,18075.16347029744,12496.878087315985,13203.664551467431,16196.8642984281,8549.113407438379,10406.275350218191,2201.6856083207567,16206.205670050871,11357.784383054077,11899.759285048847,14570.454306224721,7449.906936368083,9133.456472778962,1892.359743495227,72509.9267970208,81129.64477348626,40633532.66680933,120056.9838441258,81507.58774040407,88873.27260853852,109613.21781731264,60736.20350511004,74203.10813839646,16446.27170668677,551436.6453605744,Usina São Luiz S/A - Ourinhos - SP,SP,pre_renovabio_1985_2015,0.8937537813639923,6.796980892744988,500.84691952316615,0.8966007802187907,6.642096711402532,0.9088497386064717,6.522235967327888,0.9012467136425645,6.730955051312729,0.8995848849359551,6.767557954285668,0.8714245070004683,7.104386222349667,0.8776873728012068,7.130611639719934,0.8595049794318931,7.469854753345312
Pitangueiras,53811006000105,102904.45564264455,17327.487943198954,18538.519578202824,7993.407062476581,5824.408584994895,4609.402811995558,3461.8630659063365,101409.48824699408,16905.67564893526,18081.703011883033,7768.825384269829,5673.106680333585,4414.485186831683,3307.460235466823,157560.74439471436,160659.5446894197,87667192.90786955,473330.30011417886,86029.56825760083,95235.63394169362,41799.951044516056,29698.500990839566,26273.23258211238,20177.06709156077,772544.254022502,Viralcool Açúcar e Álcool Ltda. - Pitangueiras - SP,SP,pre_renovabio_1985_2015,0.9807120062446597,4.808579879371326,545.6706171883163,0.9854722773050564,4.599706564290171,0.9756564658624243,4.96491866216346,0.9753585196275918,5.137175789034932,0.9719041359396039,5.229303439422896,0.9740227866137172,5.098972806844318,0.9577130415557044,5.699921151117157,0.9553989203212202,5.8283839387732375
Castilho,53811006000296,0.0,5112.272379244981,3634.9726814400624,2109.4641270788857,2480.252321888594,37127.59346941908,18377.379268669556,0.0,5065.059861067054,3614.0017493810724,2095.9066038804017,2466.798097711889,36770.75443979069,18169.42475361754,68181.94550544865,68841.93424774118,22244253.569171794,0.0,22654.61885156164,15924.693406527125,9766.613328675137,10487.36192669775,168921.82515685708,84713.54907005938,312468.6617403782,VIRALCOOL ACUCAR E ALCOOL LTDA - Castilho - SP,SP,pre_renovabio_1985_2015,0.9904129837503194,4.538929144784028,323.12069398168694,,,0.9907648664477264,4.431418588636987,0.994230786887047,4.38096646168418,0.9935730013018719,4.629902544111813,0.9945754615133431,4.228344767242118,0.9903888456998349,4.549764996107089,0.9886842126936704,4.609664296066535
Batatais,54470679000101,16337.445661321572,13436.780134044995,31208.453011836347,23286.38198970989,16883.603720195326,14463.547539146768,5373.708114003259,15219.782680625132,12024.647749050839,27251.88497381018,19409.129380202266,13928.134453222796,11905.432949570142,4108.672181290301,103847.68436777164,120989.92017025812,94732435.76369554,103905.157054522,93271.63402626597,225651.86755974827,182168.26767923357,135393.62984980622,115505.99053504357,47898.04387607849,903794.5905806981,USINA BATATAIS S/A AÇÚCAR E ÁLCOOL - Batatais - SP,SP,pre_renovabio_1985_2015,0.8583168269029042,7.4699990652846955,782.9779177503976,0.9315888784657155,6.359938953034405,0.8949054482616551,6.941516724675881,0.8732212700025352,7.230472701551912,0.8334969935981915,7.822952821083696,0.8249503295651659,8.019237604342438,0.823133668786798,7.986006906149215,0.7645878961277369,8.913406322025894
Pirassununga,54844360000107,28380.44438364798,12452.003344068926,8333.661072343297,8423.495838885417,11645.55420429169,17771.033474874643,11306.97942847256,25670.780221613975,10756.410792860563,7468.947004924393,7395.869014907702,10253.930159482155,15306.317621447031,9955.078544547629,86807.33335978346,98313.17174658453,64959759.81146486,187267.24530605305,90579.95979145974,54926.153362367906,58149.13195385412,80279.3570409198,125542.47018016898,77055.74957439765,673800.0672092214,Baldin Bioenergia S. A. - Pirassununga - SP,SP,pre_renovabio_1985_2015,0.8829674784935336,6.853609289974207,660.7432011135538,0.9045235470803538,6.598460643341836,0.8638297385282988,7.274328257758164,0.8962383927169046,6.590879192897573,0.8780047092521993,6.9032065862038,0.8805016901388271,6.893562610471108,0.8613071177367192,7.064443964818684,0.8804366017929903,6.814883679752743
Pirassununga,54846951000105,29513.74040192646,10379.082586084953,11898.442268670162,9640.005705632124,11145.04159644687,14716.2066933193,11999.589549775596,26288.2969148249,9062.313707817653,10192.962422544788,8234.697006030907,9397.550402839453,12643.155637524553,10316.208650701274,86135.18474228351,99292.10880185544,65553833.57367674,205958.23552566196,74630.74917157495,87200.88205028305,70450.18513033127,84388.21396635067,106345.01270241759,87515.3094660815,716488.5880127008,Ferrari Agroindústria S.A. - Pirassununga - SP,SP,pre_renovabio_1985_2015,0.86749275226063,7.215967075918444,660.2119177919178,0.8907138355499317,6.978384736087818,0.8731324404304608,7.190495744935206,0.8566636028805149,7.3287645627270095,0.8542211755351792,7.308106165245433,0.8432046055203122,7.571816869059898,0.8591314257134043,7.22638754120618,0.8597134600236553,7.2931919131949074
