cidade,cnpj_clean,dem_area_1985,dem_area_1995,dem_area_2005,dem_area_2015,dem_area_2024,dem_area_le12_1985,dem_area_le12_1995,dem_area_le12_2005,dem_area_le12_2015,dem_area_le12_2024,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1995,dem_slope_x_area_2005,dem_slope_x_area_2015,dem_slope_x_area_2024,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2015,mean_slope_pct_2015,share_slope_le12_2024,mean_slope_pct_2024,dem_area_1990,dem_area_2000,dem_area_2010,dem_area_2020,dem_area_le12_1990,dem_area_le12_2000,dem_area_le12_2010,dem_area_le12_2020,dem_slope_x_area_1990,dem_slope_x_area_2000,dem_slope_x_area_2010,dem_slope_x_area_2020,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2020,mean_slope_pct_2020
Sandovalina,03445208000455,0.0,5191.9275033043305,4878.436066757348,61015.96545994363,6938.464419301058,0.0,5035.451296589159,4667.871812211708,58036.95917506261,6489.520442537934,74229.80272640142,78024.79344930637,28060370.295599677,0.0,29132.927198842986,29692.040321845863,374572.4297534083,43846.15847776555,477243.55575186264,UMOE BIOENERGY S.A. - Sandovalina - SP,SP,10y_1985_2024,0.9513617331730511,6.1165628853850595,359.63402215003407,,,0.969861634890783,5.611196839767454,0.9568377546278678,6.086385045439755,0.9511766098852159,6.138924901537637,0.9352963495043262,6.31928850939937,,,,,,,,,,,,,,,,,,,,
Capinópolis,03937452000435,0.0,251.35429143116755,7696.011628597304,21374.86134205881,10242.653797920339,0.0,246.34865376309438,7553.240083634182,21073.86219393675,10033.66370966937,38907.1146410034,39564.881060007625,20235427.725541584,0.0,1326.4040287570626,37760.64020152296,98926.32920109354,52000.781465597654,190014.1548969712,CRV industrial Ltda. - Capinópolis - MG,MG,10y_1985_2024,0.9833749931408463,4.802596388670517,511.4492242463899,,,0.9800853303933187,5.277029571306498,0.981448631855934,4.906520678998158,0.9859180771605853,4.628162382809872,0.9795960995681215,5.07688558956819,,,,,,,,,,,,,,,,,,,,
Lambari D'Oeste,04165520000105,0.0,0.0,650.9677462652326,3998.3344617709517,4500.6481333673,0.0,0.0,648.9828786253929,3969.6082052513957,4466.665290609002,9085.25637448579,9149.950341403484,1823472.361702919,0.0,0.0,2328.777217745781,14452.212275281549,17464.93255019188,34245.92204321921,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Lambari D'Oeste - MT,MT,10y_1985_2024,0.9929295827295419,3.7427440330748643,199.28767847533715,,,,,0.9969508971047685,3.5774079915734194,0.9928154443320801,3.6145581150007997,0.9924493446829684,3.8805372098984656,,,,,,,,,,,,,,,,,,,,
Mirassol D'oeste,04165520000296,0.0,0.0,0.0,3289.5879258951427,3949.93477202838,0.0,0.0,0.0,3274.341059057999,3917.130464047895,7191.4715231058935,7239.522697923522,1626156.8296541327,0.0,0.0,0.0,11316.20027404445,15300.099372764604,26616.299646809053,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Mirassol D'oeste - MT,MT,10y_1985_2024,0.9933626598295754,3.676526859214528,224.62210528334356,,,,,,,0.9953651134486715,3.440005413737392,0.9916949747593834,3.873506843989644,,,,,,,,,,,,,,,,,,,,
Monte Aprazível,04171382000177,2812.075371961471,7799.648250740708,27560.385419279894,51998.73429817314,6854.2134649764375,2507.3556000696385,7079.424366421589,24554.071699605767,45589.14642412143,5885.939282063877,85615.93737228228,97025.05680513165,46738094.32433251,19650.689056155905,53103.88070460499,191312.61081614267,374215.29136040196,51139.96641683129,689422.4383541369,CENTRAL ENERGETICA MORENO DE MONTE APRAZÍVEL AÇÚCAR E ÁLCOOL LTDA EM RECUPERAÇÃO JUDICIAL - Monte Aprazível - SP,SP,10y_1985_2024,0.8824105874448099,7.105612313516041,481.71158939079885,0.8916388319708213,6.987966699644047,0.9076594403791579,6.808496870299488,0.8909190247546009,6.941579658835604,0.8767356944248371,7.196623079603481,0.8587329986350389,7.461099173252418,,,,,,,,,,,,,,,,,,,,
Onda Verde,04248044000277,7518.987477980816,18578.657524697075,31712.65748024059,37784.64472352588,7139.355591156202,7268.287179861203,17725.584955752656,30249.6139996994,35927.182318523795,6676.0072979836195,97846.67575182066,102734.30279760057,52587127.03997955,40568.34513541278,107661.14423371325,183280.3549011908,222827.46521695677,44331.86314463568,598669.1726319094,Onda Verde Agrocomercial S. A. - Onda Verde - SP,SP,10y_1985_2024,0.9524245854336585,5.82735421693923,511.8750564120999,0.9666577050628449,5.395453211515016,0.9540831963875533,5.794882869798132,0.9538656297898472,5.779407008554501,0.9508408132829267,5.897302114322053,0.93509942357451,6.209504846565045,,,,,,,,,,,,,,,,,,,,
Pontal,04969941000199,127546.86528976914,27409.230526484436,6031.893989628349,1889.663381584573,951.5770642946165,126200.2701897363,26808.402710799117,5907.255123709493,1798.7087047914079,891.0971379584544,161605.73386699482,163829.23025176104,88748349.04031819,554870.8426968739,130646.73812877483,28333.38999606091,10184.680860664681,5429.4280789895965,729465.0797613639,Usina Bela Vista S.A. - Pontal - SP,SP,10y_1985_2024,0.9864279629383028,4.452594196044101,541.7125436281186,0.9894423504883985,4.350329123622778,0.9780793621657944,4.766523379871469,0.979336694886686,4.697262591945296,0.9518672597037388,5.389679960948568,0.9364424295146346,5.705715577554734,,,,,,,,,,,,,,,,,,,,
Guaraci,05242560000176,925.5616854741,8784.810864684425,27785.55680469147,46269.980763090025,5839.42306391886,906.1676372005367,8410.641688507036,26717.581523127454,44815.04864462356,5522.082416911451,86371.52191037001,89605.33318185888,44629045.53187815,4632.353651969982,51026.15104982198,155592.91994617917,245834.08999616952,34234.24483474907,491319.75947888964,USINA VERTENTE LTDA. - Guaraci - SP,SP,10y_1985_2024,0.9639105044682366,5.483153089579273,498.0623802971759,0.9790461850593684,5.004910774366328,0.9574072587400172,5.808451864905914,0.96156365376908,5.5997769287066435,0.9685555927521138,5.313036356225883,0.945655479396891,5.862607394603524,,,,,,,,,,,,,,,,,,,,
Ouroeste,05553456000100,4.543879896402359,1499.2600978240957,7825.27951699396,48605.86136190643,11059.071676460433,4.375696122646332,1426.322215005814,7582.397093893587,46128.6031702699,10513.473183485867,65655.17135877782,68994.01653308129,29398365.97466484,27.055248469114304,8452.99409776967,40554.05281942166,285207.5772071701,63929.47485190436,398171.1542247349,Usina Ouroeste Açúcar e Álcool Ltda. - Ouroeste - SP,SP,10y_1985_2024,0.9516067429890452,5.771096889739991,426.1002250908076,0.9629867475394348,5.954217339797084,0.9513507476627052,5.638110498663746,0.968961821418275,5.182441436290098,0.9490337559663531,5.867760990461411,0.9506650730787929,5.780727055778123,,,,,,,,,,,,,,,,,,,,
Rio Brilhante,05620523000235,0.0,1565.5971495789931,292.7850662263877,65458.76197723707,10053.332034328754,0.0,1558.5293715131925,292.0373869928367,64933.08233384704,9916.791388867121,76700.44048122017,77370.47622737117,25378961.6947611,0.0,6368.84203614423,1036.7337306790491,284034.7730292952,46123.25645885357,337563.6052549722,Usina Eldorado em Recuperacao Judicial - Rio Brilhante/MS,MS,10y_1985_2024,0.9913399040716521,4.362951111519114,328.0186827360234,,,0.9954855704306174,4.067995421336124,0.9974463204589372,3.540937876515274,0.9919693005563895,4.3391406199840254,0.9864183690546187,4.587857667622846,,,,,,,,,,,,,,,,,,,,
Serranópolis​,05643160000172,0.0,72.70083810876982,55.54997098445892,12494.223346196964,7420.4512847302885,0.0,63.01529649387972,50.11104144155979,11458.47648524864,6794.417191332433,18366.02001451651,20042.92544002048,14366075.883160595,0.0,534.9953827993543,374.21404768526554,81134.90818639491,48339.47836695133,130383.59598383086,ENERGÉTICA SERRANÓPOLIS LTDA. - Serranópolis​ - GO,GO,10y_1985_2024,0.9163342980782822,6.505217832297521,716.7654206044841,,,0.8667753788422731,7.358861282987306,0.9020894260337099,6.736530029690897,0.9171019412532282,6.493793646732835,0.9156339595293751,6.514358293332334,,,,,,,,,,,,,,,,,,,,
Planalto,05928246000141,1641.4231178295963,9356.413673937966,23377.0494276909,62529.39506285956,7655.155553130892,1430.237550497055,8703.34117198949,21356.71497396725,56397.04116505359,6809.278229333664,94696.61309084103,104559.43683544891,45831683.4195312,11864.552974708817,57100.25634546566,148716.9396512421,418584.02709675446,52544.71799697824,688810.4940651493,COPLASA - ACUCAR E ALCOOL LTDA EM RECUPERACAO JUDICIAL - Planalto - SP,SP,10y_1985_2024,0.9056725624858752,6.587741048655123,438.33139127995787,0.8713399579678239,7.2282112063810535,0.9302005528285274,6.10279305034544,0.9135761568211215,6.361664251566405,0.9019284627391447,6.694196012546743,0.8895022683828715,6.863964766266298,,,,,,,,,,,,,,,,,,,,
Suzanápolis,05938884000143,1.091908022761345,1446.753060283176,5261.777130036757,28111.643747029055,9278.44037368315,0.5039446130394936,1369.5340519258204,4834.012744104774,26244.81300426117,8623.757618511014,41072.62136341581,44099.7062190549,16215465.426509978,14.250822484493256,8697.620468722782,34808.005846412976,176492.8161412849,58769.25036083788,278781.94363974297,VALE DO PARANÁ S.A. AÇÚCAR E ÁLCOOL – Suzanápolis/SP,SP,10y_1985_2024,0.9313581627822473,6.321628136363525,367.70007822645067,0.46152661445334875,13.051303028669125,0.9466259927300646,6.011821027024736,0.918703438902781,6.615256592247536,0.9335922595075865,6.2782816163120065,0.9294404308477272,6.3339578629537465,,,,,,,,,,,,,,,,,,,,
SANTA JULIANA,05980986000127,180.06530697643757,1416.4820384192117,1750.3551549561178,42188.18362989461,9951.244745256387,171.37579971551895,1363.2474652784713,1648.9610876311276,38298.54025383974,8801.54727072742,50283.67187719228,55486.33087550276,57271806.10261267,1116.777875304222,7358.046790996896,9802.426517558799,253403.06883691542,64097.89270936876,335778.21273014403,AGROINDUSTRIAL SANTA JULIANA LTDA. - SANTA JULIANA - MG,MG,10y_1985_2024,0.906235303069797,6.051548326083141,1032.178650109629,0.951742468292042,6.20207131543867,0.9624177563168045,5.194592371399532,0.9420722891363541,5.600250034859097,0.9078025399202382,6.006493928725427,0.8844669683079587,6.441193473803696,,,,,,,,,,,,,,,,,,,,
Jaíba,06044698000808,72.3620758280158,0.08636525273323059,104.40486118942499,6721.574529118836,1717.038921840489,72.3620758280158,0.08636525273323059,104.40486118942499,6720.883775539696,1716.9525429680943,8614.689620777965,8615.466753229499,4138279.6994400024,169.14103980362415,0.2796121835708618,233.41795313358307,17179.303553581238,4396.766616925597,21978.908775627613,Sada Bio-Energia e Agricultura Ltda. - Jaíba - MG,MG,10y_1985_2024,0.9999097979861343,2.5510990182149844,480.3314571307205,1.0,2.337426585240929,1.0,3.2375541635308154,1.0,2.235700047625997,0.999897233367547,2.5558451340765473,0.9999496931191857,2.5606679970962545,,,,,,,,,,,,,,,,,,,,
Itapagipe,06059962000100,241.85429747402668,650.0798527982305,4073.5221502880254,46849.546298170186,7585.409357264521,240.08685315400362,642.1381378989886,3963.9146113917814,46011.17516634736,7382.518052534117,58239.83282132625,59400.411955994976,27710844.690431643,1148.4636043906212,3328.071947424494,21797.880555515425,235777.93687095994,39992.74203797351,302045.095016264,USINA ITAPAGIPE ACUCAR E ALCOOL LTDA. - Itapagipe - MG,MG,10y_1985_2024,0.980461766232724,5.084898994303694,466.5093015004744,0.9926921111657614,4.748576380016392,0.9877834778834366,5.1194817576625455,0.9730926861687755,5.3511137907950665,0.9821050319999456,5.03266211737399,0.9732524251263914,5.272324821820275,,,,,,,,,,,,,,,,,,,,
São João da Boa Vista,06252818003799,6208.7699519028265,16114.413947559164,12329.227705053665,11757.30238675922,1717.6320310823182,5545.183346596244,13747.808339815167,9774.39728839701,9739.350653823565,1383.4398570166206,40190.1794856486,48127.346022357175,33997218.51184776,42608.77670630262,122212.9444227414,104432.24793891012,92693.1005832688,14248.600797873502,376195.67044909653,Abengoa Bioenergia Agroindustrial Ltda. - Em Recuperação Judicial - Unidade São João - São João da Boa Vista - SP,SP,10y_1985_2024,0.8350799037823231,7.816671841292429,706.401273322959,0.8931210834920352,6.862676027035619,0.8531373455190119,7.584076269882151,0.7927826074937809,8.4702992301865,0.8283660939767764,7.883874849358085,0.8054343607838311,8.295490850211463,,,,,,,,,,,,,,,,,,,,
Sebastianópolis do Sul,06315338002324,473.9456122432853,3975.501182609943,13192.993810742244,54510.4899299971,7450.09112768255,447.1880900030042,3751.6737712839076,12391.738094281916,50226.17519876813,6726.978375553266,73543.75352989025,79603.02166327511,37474310.60830177,2862.893751199222,25124.140485662985,85028.76530165196,368021.37912930467,52999.50687342895,534036.6855412477,COFCO INTERNATIONAL BRASIL S.A. - Unidade Sebastianópolis - Sebastianópolis do Sul - SP,SP,10y_1985_2024,0.9238814305439826,6.7087489191082526,470.7649260705208,0.9435430531498497,6.040553340389708,0.9436983159997223,6.319741670701458,0.9392665737622105,6.444993950684512,0.9214038483834776,6.751386377226132,0.902939072860144,7.113940751207315,,,,,,,,,,,,,,,,,,,,
Meridiano,06315338002405,31.212665252387524,3762.856008630232,10588.576961571649,54209.99673528584,10718.997966926527,30.625069342553616,3372.6677751204547,9518.045956371376,48799.84030057707,9406.081468750388,71127.26057016183,79311.64033766664,35286894.741791874,168.09540025889874,26410.54520856698,74783.47584555307,380805.5069642866,79024.15321639167,561191.7766350573,COFCO INTERNATIONAL BRASIL S.A. - Unidade Meridiano - Meridiano - SP,SP,10y_1985_2024,0.8968073320302028,7.075780733393008,444.91444876892103,0.9811744397640326,5.385486913714963,0.8963052977273466,7.018749893164538,0.8988975563868994,7.062655927889016,0.9002000228642839,7.024636227591145,0.8775149969962543,7.3723452005701215,,,,,,,,,,,,,,,,,,,,
Potirendaba,06315338015060,4905.885544188438,20893.3829206971,30079.735898388917,42658.05752738322,7446.4991325830715,4625.172098438442,19629.796364904825,27946.038674143132,38642.23754327547,6655.9849001036255,97499.22958086545,105983.56102324076,50251846.44641118,30195.98496898611,128389.3273767659,191914.018846823,286106.878078721,51699.50115777733,688305.7104290734,COFCO INTERNATIONAL BRASIL S.A. - Unidade Potirendaba - Potirendaba - SP,SP,10y_1985_2024,0.9199467222986136,6.4944572892595795,474.1475561044002,0.9427802701017899,6.1550528843373815,0.939522165434466,6.144975558246373,0.9290652939422893,6.380176325188479,0.9058602239089321,6.706983267933899,0.893840821249753,6.94279287988631,,,,,,,,,,,,,,,,,,,,
