iteration,period,slope_bin,selection_ratio
9,post_zae_2020_2023,03_06,1.499486458770351
9,post_zae_2020_2023,06_09,1.1286856521719189
9,post_zae_2020_2023,09_12,0.5112426315564199
9,post_zae_2020_2023,12_20,0.14780044571112633
9,post_zae_2020_2023,gt_20,0.031244805489094245
9,pre_law_1986_2001,00_03,0.7922019962458925
9,pre_law_1986_2001,03_06,1.4033964700692316
9,pre_law_1986_2001,06_09,1.5715897444195324
9,pre_law_1986_2001,09_12,0.8913429791584986
9,pre_law_1986_2001,12_20,0.21691571687701477
9,pre_law_1986_2001,gt_20,0.03097934946684425
9,zae_2009_2019,00_03,1.0512314917527306
9,zae_2009_2019,03_06,1.4437680117354694
9,zae_2009_2019,06_09,1.068995281133697
9,zae_2009_2019,09_12,0.47009053235837256
9,zae_2009_2019,12_20,0.12217882857020207
9,zae_2009_2019,gt_20,0.021090948108393952
10,post_law_pre_zae_2002_2008,00_03,0.8841023100374301
10,post_law_pre_zae_2002_2008,03_06,1.4483027524463288
10,post_law_pre_zae_2002_2008,06_09,1.2805233479447011
10,post_law_pre_zae_2002_2008,09_12,0.680277504154375
10,post_law_pre_zae_2002_2008,12_20,0.20402717295791145
10,post_law_pre_zae_2002_2008,gt_20,0.02708181004678205
10,post_zae_2020_2023,00_03,0.967025508634608
10,post_zae_2020_2023,03_06,1.4632396114095552
10,post_zae_2020_2023,06_09,1.1267136192863179
10,post_zae_2020_2023,09_12,0.5563573867356707
10,post_zae_2020_2023,12_20,0.1789579466547777
10,post_zae_2020_2023,gt_20,0.03307511763709688
10,pre_law_1986_2001,00_03,0.8081478764980005
10,pre_law_1986_2001,03_06,1.3647573505415644
10,pre_law_1986_2001,06_09,1.4932355904226786
10,pre_law_1986_2001,09_12,0.9349537353558302
10,pre_law_1986_2001,12_20,0.2745368782606754
10,pre_law_1986_2001,gt_20,0.0415112951158018
10,zae_2009_2019,00_03,1.0435053981050002
10,zae_2009_2019,03_06,1.44152878391455
10,zae_2009_2019,06_09,1.0338853010970868
10,zae_2009_2019,09_12,0.47844471550410694
10,zae_2009_2019,12_20,0.15052449369717377
10,zae_2009_2019,gt_20,0.02410019548185579
11,post_law_pre_zae_2002_2008,00_03,0.9531310698297643
11,post_law_pre_zae_2002_2008,03_06,1.4205160019980803
11,post_law_pre_zae_2002_2008,06_09,1.3027831561955001
11,post_law_pre_zae_2002_2008,09_12,0.6198144840675639
11,post_law_pre_zae_2002_2008,12_20,0.15413049579208257
11,post_law_pre_zae_2002_2008,gt_20,0.019451852499857262
11,post_zae_2020_2023,00_03,1.0336920451063099
11,post_zae_2020_2023,03_06,1.3946432685994525
11,post_zae_2020_2023,06_09,1.1624008563031385
11,post_zae_2020_2023,09_12,0.5628290526904941
11,post_zae_2020_2023,12_20,0.17226237958099952
11,post_zae_2020_2023,gt_20,0.053081160709463046
11,pre_law_1986_2001,00_03,0.9152504396467552
11,pre_law_1986_2001,03_06,1.3605141963114444
11,pre_law_1986_2001,06_09,1.4307736429190185
11,pre_law_1986_2001,09_12,0.8433582080853976
11,pre_law_1986_2001,12_20,0.23630190295325568
11,pre_law_1986_2001,gt_20,0.0322535360164861
11,zae_2009_2019,00_03,1.1160510746143049
11,zae_2009_2019,03_06,1.3612145599688512
11,zae_2009_2019,06_09,1.1028886628052919
11,zae_2009_2019,09_12,0.4869759237121476
11,zae_2009_2019,12_20,0.13225879046630298
11,zae_2009_2019,gt_20,0.019993177623987585
12,post_law_pre_zae_2002_2008,00_03,0.9130668513734997
12,post_law_pre_zae_2002_2008,03_06,1.4246513272111299
12,post_law_pre_zae_2002_2008,06_09,1.375286880943611
12,post_law_pre_zae_2002_2008,09_12,0.6494251969686998
12,post_law_pre_zae_2002_2008,12_20,0.15387910993749934
12,post_law_pre_zae_2002_2008,gt_20,0.01576341929539531
12,post_zae_2020_2023,00_03,0.9903727787703612
12,post_zae_2020_2023,03_06,1.431963645617136
12,post_zae_2020_2023,06_09,1.1857890230253696
12,post_zae_2020_2023,09_12,0.5649450438725246
12,post_zae_2020_2023,12_20,0.18133859305409547
12,post_zae_2020_2023,gt_20,0.03957201637383839
12,pre_law_1986_2001,00_03,0.9275098585455934
12,pre_law_1986_2001,03_06,1.3798797835945573
12,pre_law_1986_2001,06_09,1.4453627099261488
12,pre_law_1986_2001,09_12,0.7751536233479673
12,pre_law_1986_2001,12_20,0.17480984758799115
12,pre_law_1986_2001,gt_20,0.019566454222434276
12,zae_2009_2019,00_03,1.104195435846047
12,zae_2009_2019,03_06,1.376348915755262
12,zae_2009_2019,06_09,1.081886118167639
12,zae_2009_2019,09_12,0.5024595815613722
12,zae_2009_2019,12_20,0.1411330923197676
12,zae_2009_2019,gt_20,0.02022601226713043
13,post_law_pre_zae_2002_2008,00_03,0.9832250658816906
13,post_law_pre_zae_2002_2008,03_06,1.4042179588918522
13,post_law_pre_zae_2002_2008,06_09,1.2596381140508344
13,post_law_pre_zae_2002_2008,09_12,0.6377597335863717
13,post_law_pre_zae_2002_2008,12_20,0.18158725981948542
13,post_law_pre_zae_2002_2008,gt_20,0.021216437567916014
13,post_zae_2020_2023,00_03,0.9950261374682674
13,post_zae_2020_2023,03_06,1.4635883919100559
