cidade,cnpj_clean,dem_area_1985,dem_area_1990,dem_area_1995,dem_area_2000,dem_area_2005,dem_area_2010,dem_area_2015,dem_area_2020,dem_area_2024,dem_area_le12_1985,dem_area_le12_1990,dem_area_le12_1995,dem_area_le12_2000,dem_area_le12_2005,dem_area_le12_2010,dem_area_le12_2015,dem_area_le12_2020,dem_area_le12_2024,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1990,dem_slope_x_area_1995,dem_slope_x_area_2000,dem_slope_x_area_2005,dem_slope_x_area_2010,dem_slope_x_area_2015,dem_slope_x_area_2020,dem_slope_x_area_2024,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2015,mean_slope_pct_2015,share_slope_le12_2020,mean_slope_pct_2020,share_slope_le12_2024,mean_slope_pct_2024
Parapuã,07969961000239,99.68812187761068,7904.43248060071,8344.005297916132,3092.694898289822,8664.050920592628,25412.31347232873,11187.825525609564,2867.1407454524847,1156.6312755420513,96.11246456950903,7510.5156025620645,7930.483555767582,2942.4933477248633,7970.154406669299,23696.03061358286,10677.696535351553,2582.3968440106396,1028.0550340263867,64433.93840426476,68728.78273820973,29541868.17027007,615.7077329605818,50101.77991622073,50853.781047795324,18642.786261288733,58778.82012798529,164504.54507849985,67236.33623730768,20129.051010804553,8377.436498389525,439240.2439112522,PARAPUÃ AGROINDUSTRIAL S/A - EM RECUPERAÇÃO JUDICIAL - Parapuã - SP,SP,5y_1985_2024,0.937510251704818,6.390921334724248,429.83255331024924,0.9641315611052281,6.176339982776482,0.950165065106773,6.3384411264416505,0.9504408581509621,6.0946487007259895,0.9514334405737804,6.02800692418696,0.9199108453674847,6.784219144912963,0.9324625496763719,6.473418693564739,0.9544032047076265,6.009776974390593,0.9006871560478948,7.020600939361223,0.888835582925589,7.242962105156172
SANTA VITÓRIA,07981751000185,0.0,6.611547626554966,18.646859012544155,10.516629584133625,190.15769963673517,11162.259479021122,25207.316610447593,11734.735223967742,2243.9413264773643,0.0,6.526754356920719,17.88402534276247,10.177589178085327,178.11704378537104,10939.469489825971,24756.16068994002,11453.220174241826,2186.3157995451315,49547.87156621609,50574.18537577379,23229281.403962016,0.0,31.92468474805355,111.49404738843441,58.300396263599396,1178.9562427506726,53502.43506794677,121301.78246290801,60414.43218547269,11202.244243265248,247801.5693307435,SANTA VITÓRIA AÇÚCAR E ÁLCOOL LTDA. - SANTA VITÓRIA - MG,MG,5y_1985_2024,0.9797067653797676,4.899763930739381,459.311034500407,,,0.9871749740872048,4.828625089204467,0.9590905004822254,5.979240112955748,0.9677614958922005,5.543638843337874,0.9366806820109529,6.199886962257502,0.9800407803085143,4.793154573095328,0.9821021837635593,4.81216562387416,0.9760101063762451,5.148342168136742,0.9743195036999047,4.99221798319077
Uruaçu,07987748000179,0.0,38.73258497565985,347.0766283338269,108.5791596993804,184.48859017467967,1073.060415935721,3024.443260455687,2794.877233438194,869.2556434697088,0.0,38.55920475721359,339.01953637500606,107.27928560227156,179.7232979325103,1063.1796252401728,2913.960654202045,2751.019164144993,861.1070781102952,8253.847846364508,8440.513516482857,4338008.963327609,0.0,134.5967000424862,1338.0777400192092,406.8641278296709,780.7297251811799,3508.791102279051,12810.146955502969,11042.547695621848,3696.8028548021525,33718.55690127856,URUAÇU AÇÚCAR E ÁLCOOL LTDA. - Uruaçu - GO,GO,5y_1985_2024,0.9778845600147641,3.9948466210535742,513.9508342538911,,,0.9955236600253969,3.4750249725668665,0.9767858412204256,3.8552804504376277,0.9880283278972893,3.7471659290433124,0.9741702604065788,4.231859132545596,0.9907919530449437,3.269891471319762,0.9634701011924437,4.235538858670104,0.9843076938162154,3.950995615659855,0.9906258125321017,4.252837335684179
Vicentinópolis,07996345000196,0.0,69.3065747636206,100.92559588910902,117.98284966498613,248.99043024974128,21663.70798081204,32925.73456717273,14033.621679466029,813.2231790258311,0.0,69.1361406463034,100.84029690386618,117.89763838797808,244.21700385110637,21588.716844389546,32823.85880866249,13934.210648674329,804.4387623279117,69683.31614384355,69973.49285704411,36609207.474340096,0.0,274.73064241607983,301.2448925103627,358.987468034029,1111.9420033351464,79116.89653177687,116029.47603379998,53888.121569285264,3272.551293129781,254353.95043428754,CAÇU COMÉRCIO E INDUSTRIA DE AÇÚCAR E ÁLCOOL LTDA - Vicentinópolis - GO,GO,5y_1985_2024,0.995853048042158,3.635004343057918,523.1867951644593,,,0.9975408665354119,3.9639910550057573,0.9991548329787762,2.9848215396355204,0.9992777655629609,3.0427089111119003,0.98082887605822,4.465802168460255,0.9965383979285118,3.6520477751016687,0.996905892614107,3.5239753207961066,0.9929162241178869,3.8399297629730373,0.9891980246942268,4.024173655564031
Santo Antônio da Barra,08048772000105,3.154399335384369,187.2112410068512,212.397243995088,240.90403850286032,5382.5050852032255,10228.573723776259,8721.613424324376,5913.350288020719,171.20067767956678,3.154399335384369,187.2112410068512,211.71534388126696,239.6254832735541,5357.867464940424,10173.32932536117,8627.145649620277,5880.083190338958,165.7411805556101,30845.87327831349,31060.910121844325,19090603.41872614,20.010394662618637,791.9697332829237,827.4379133571013,1126.3319594234813,22401.33875584982,42863.17787932852,37753.43107253529,23292.996763936502,822.6028841001146,129899.2973564764,FLORESTA S/A ACUCAR E ALCOOL - Santo Antônio da Barra - GO,GO,5y_1985_2024,0.9930769303704464,4.182082780154006,614.6182885124225,1.0,6.343646613842675,1.0,4.230353524839573,0.9967895058288195,3.8957092747222135,0.9946926783077111,4.675438263398428,0.9954226480286045,4.161879719804115,0.9945990125400697,4.190533209893508,0.9891685436962122,4.3287209872478245,0.9943742386191541,3.9390524202707082,0.9681105402270946,4.804904368660067
Frutal,08056257000177,588.0377265460058,1515.6240525558005,1987.0709310488667,4175.9157495630425,8280.030658966536,22568.540900439755,20647.3400727459,8981.354795521882,4378.776709992219,577.1324420319761,1506.7494933701028,1962.3653136189662,4089.4325318096894,8096.148355649119,22110.638840379404,20149.736355273428,8713.376434889615,4233.389762293912,71438.96952931621,73122.69159737999,37561324.99011555,2799.1542083414747,6652.331228823638,9735.861905488022,21260.698674076386,41072.0234788779,110579.44531434418,103402.58345277939,47278.605012078886,23666.436061995115,366447.13933680503,USINA CERRADÃO LTDA. - Frutal - MG,MG,5y_1985_2024,0.976974014067555,5.01140113050673,513.675360815922,0.9814547876407781,4.760160925019289,0.9941446170831529,4.3891697400854754,0.9875668165419441,4.899604615698841,0.9792899993821949,5.091266191445805,0.977792074583892,4.960370941911979,0.9797106041511338,4.899716193535112,0.9758998633373942,5.008034114247425,0.9701628132132268,5.264083881381913,0.9667973597816625,5.404805412431539
LIMEIRA DO OESTE,08057019000186,0.0,6.16934560239315,40.912448801100254,10.391450218856335,506.0833452705659,15053.461901941107,19489.654450204995,10929.925813101116,5492.27994096288,0.0,6.00026972591877,40.32092606276274,9.969040751457214,458.20548917990106,13857.305718990343,18413.545433292285,10311.203058509996,5263.787702770706,48360.337639283374,51528.87869610301,21373506.766639978,0.0,34.299864277243614,218.52389335632324,62.284817695617676,3375.2383511209605,95273.12476933007,112577.3346621507,64109.7501199478,30026.92440389903,305677.48088177777,VALE DO PONTAL AÇÚCAR E ETANOL LTDA. - LIMEIRA DO OESTE - MG,MG,5y_1985_2024,0.9385094118677326,5.932158599540713,414.78695650826177,,,0.972594195985909,5.559724886208086,0.9855417420449883,5.341256750939007,0.9593502871588976,5.993852290471987,0.9053953137598945,6.6693329916171535,0.920539461903011,6.328984348579965,0.9447856287210167,5.776261192817946,0.9433918614662975,5.865524726901886,0.9583975615503467,5.467114700390683
Barra Bonita,08070508000330,85452.89723415657,34035.32996465199,11567.983735281607,4078.155193141337,3489.4219116180548,5524.556408523725,1542.0963864271257,789.7739721275428,359.16273228371256,70440.59444950847,27546.564685025605,8949.982815253323,3183.792292772087,2700.1255898913923,4271.329989369359,1129.3280563384587,606.5391401963783,275.67688792546585,119103.93390628054,146839.3775382117,83959918.40213852,680377.4550029145,280299.73344165576,102070.38177685674,35484.98389362658,30754.18184439265,48873.9579648548,14728.657878607628,7206.664114980195,3144.9174325714503,1202940.9333504604,RAIZEN ENERGIA S.A - FILIAL BARRA - Barra Bonita - SP,SP,5y_1985_2024,0.8111171260943705,8.192223050233386,571.7806749779351,0.8243207279033309,7.962017404027343,0.8093520677964513,8.235552108140752,0.7736856326964267,8.823523970348319,0.7806942458017796,8.701234311363486,0.7738031279339724,8.813546376262607,0.7731534757757585,8.846675524834568,0.7323329892205975,9.55106179370044,0.7679907943312503,9.124970395727818,0.7675542675950607,8.756246541991425
Guariba,08070508006532,111144.60287327437,11687.507973519349,10678.099250274281,4985.662750367644,3737.87078629922,5842.522328526806,2149.402829248356,943.2378706635508,848.8582561267357,106567.1746348975,10755.250410558574,9918.92562412374,4668.843557520473,3514.4117752898555,5448.211309849867,1961.3159173271524,888.4623679669173,807.5065177690165,144530.10211530316,152017.76491830038,91227908.54758096,634269.2301798603,75130.13847754632,67651.25158556577,30594.717701035566,22228.256309237666,35764.70656384089,14176.555134723058,5087.402147916369,4349.263306915001,889251.5214066406,RAIZEN ENERGIA S.A. - FILIAL BONFIM - Guariba - SP,SP,5y_1985_2024,0.9507448171796148,5.849655281305808,600.1134709263092,0.9588155599098591,5.706702923785204,0.9202347014373798,6.428242756947878,0.9289036739257653,6.335514401950147,0.9364539463035665,6.1365397606927,0.9402175666883856,5.94676958623424,0.9325101391993542,6.12144970147833,0.9124934100942924,6.595578521537811,0.9419282193810774,5.393551622707297,0.9512854613131719,5.123662608596517
Araçatuba,08070508006613,933.2479888529463,15966.369713817247,18492.264791165995,9763.591346567926,15102.871901421277,20751.95289006683,9292.076831129338,4363.343949018624,1207.2886941726886,911.5811287671328,15442.607822069645,17850.788457777893,9395.09321584453,14417.907232128171,19990.673330109526,8925.009027461387,4152.782623401985,1134.2465981828816,92220.68943574312,95873.00810621283,36607156.88110799,4756.035895742213,81809.44888867222,95625.72366650571,51968.77933068994,82990.89454969813,111034.5870043404,50497.96328902881,24766.0736011199,7342.898469460596,510792.40469525795,RAIZEN ENERGIA S.A – FILIAL DESTIVALE - Araçatuba/SP,SP,5y_1985_2024,0.961904620052982,5.327802003764991,381.8296474076706,0.9767833841116077,5.096218746303274,0.9671959311267646,5.123860361186211,0.9653110994985026,5.17112018167658,0.9622579317749785,5.322711437421834,0.9546467272076481,5.495040618194488,0.9633152810248669,5.350560864924112,0.9604966887016863,5.434518483516608,0.9517431291053741,5.675938887808772,0.9394990640247318,6.082139677860911
Valparaiso,08070508006702,1287.6927406603509,29733.62431071997,18801.0007029619,14938.159447462243,24124.874979631455,23690.084435729186,7969.192866841572,4895.279089096539,1536.463759760442,1190.9330007977055,27820.225580168506,17372.97802054949,13624.894207549447,22225.347942602424,21365.893368856377,7074.887384244127,4359.731200392633,1384.2379520364252,116419.12865719717,126976.37233286366,49052624.75127344,8478.024807735343,187184.45025362363,123443.61927091281,100714.59031711845,159530.04563085322,164727.37250253957,57171.64548485841,35161.898316778854,10812.920780967675,847224.5673653877,RAIZEN ENERGIA S.A – FILIAL UNIVALEM - Valparaiso/SP,SP,5y_1985_2024,0.9168566286648111,6.6723009312663395,386.313011232388,0.9248580528511597,6.58388801927055,0.9356486545146258,6.295379543964216,0.9240453896591025,6.565800471007139,0.9120865428882606,6.742101707464922,0.9212627199671378,6.612678646647655,0.9018918200490884,6.953431210827562,0.8877796663300126,7.174082299192394,0.8905991100902184,7.182817910238546,0.9009245699698436,7.037537144809439
Andradina,08070508006885,3.937973342835903,2074.8371481381505,6607.419475910214,4049.661581079779,12388.995914634334,31467.400083635428,22462.862972151615,8357.910447300384,2009.421885306549,3.6028045266866684,1957.8487023820776,6190.820833102599,3694.54467471727,11647.995807669036,29635.161020477582,20953.220597966323,7814.926337448608,1858.678956879529,83756.7997351697,89422.44748149929,33132263.945763443,28.370009630918503,12371.02575893028,40776.56815596381,27179.87079721975,76210.27939034501,191882.860965485,141488.73892798845,52014.956572267365,13083.039625443957,555035.7102032746,RAIZEN ENERGIA S.A – FILIAL GASA - Andradina - SP,SP,5y_1985_2024,0.9366417727774476,6.206894642624343,370.5139467650806,0.9148879926373841,7.204215763047305,0.9436156009347277,5.962408071414852,0.9369498721359407,6.171330321107936,0.9123094858045342,6.711640035356402,0.9401888488727322,6.151449230871297,0.9417734208009546,6.097830149789635,0.9327938573076426,6.298784758799421,0.9350335094787764,6.223440284535265,0.9249819415577714,6.510847583133625
Ipaussu,08070508006966,9973.237425937226,7509.650162035314,9289.893762194613,10204.019197973583,7453.89228925965,8030.2411333019245,2629.9120169489993,843.9105680989285,651.4367281980958,8982.258991942334,6807.857491296325,8208.401856195022,8880.276549342012,6416.218886493584,6623.069297222647,2187.9987104816473,642.4210311526177,496.09539311329524,49244.59820723948,56586.19328394834,31876828.992758006,65635.54929781158,49095.73676291366,65284.15601815184,73271.09608881315,54471.81502191588,61842.57089657795,20476.456278506623,7630.1158745896,5679.366019421524,403386.8622587019,RAÍZEN ENERGIA S.A - FILIAL IPAUSSU - Ipaussu - SP,SP,5y_1985_2024,0.8702581910773024,7.1287153075400385,563.3322749385303,0.9006362335847262,6.581167828925274,0.9065478876383791,6.537686270808575,0.8835840394213396,7.027438385121998,0.8702724266831591,7.180611351982175,0.8607877116414394,7.3078350086175226,0.8247659300984568,7.701209698437678,0.8319665054878823,7.785985290208176,0.7612430219943745,9.041379694744089,0.7615404100495194,8.71821586592287
Bento de Abreu,08070508008314,1154.1089792871592,23061.393166081732,17733.763031803803,11748.510984811597,20768.415930609088,31518.658794453244,9852.543765693785,5183.5946388691955,1387.7308088273978,1068.8375101649876,21408.199711082674,16277.455627779635,10608.506765516191,18828.131388403708,28519.70344292401,8729.362937961138,4554.514337562288,1222.6051144434834,111217.31683583812,122408.72010043699,49663965.94678505,7521.364533762897,148266.2719078591,115815.19375028949,79796.70820580598,140102.6429435138,213940.4113330325,70201.94219736633,37778.312481624176,10000.026317426797,823422.873670681,RAÍZEN ENERGIA S.A. – FILIAL BENALCOOL - Bento de Abreu/SP,SP,5y_1985_2024,0.908573480260097,6.726831822071649,405.7224510315565,0.9261148897959014,6.517031466481184,0.9283133745176096,6.429198394046999,0.9178793919027551,6.530773730459015,0.9029660677196287,6.792069932008122,0.9065752270809575,6.745947471950738,0.9048514287652049,6.787738422761898,0.8860009298671148,7.125260629829127,0.8786401435425241,7.28805300444279,0.8810102843191598,7.20602746138972
Rio das Pedras,08070508009477,29912.418501654094,40290.40561329062,8660.798705884346,6152.698979946153,6511.433353362129,7239.291032787339,2126.2685094611315,1728.033324840548,857.4329037598244,25476.23874966318,32616.20350659385,6621.217573354232,4724.876074065911,4982.51757204632,5402.956891818286,1524.308477140028,1335.4236150113684,637.0331928939504,83320.77565258712,103478.78092498616,57951286.22139728,223829.05649474263,334566.3471673541,77400.21936290982,54579.28687654746,57937.39152496936,66579.03386208211,20304.433056059243,15321.095921557968,8070.620755803994,858587.4850220266,RAIZEN ENERGIA S.A - Filial Santa Helena - Rio das Pedras - SP,SP,5y_1985_2024,0.8051967263992801,8.297232315139409,560.0306237025283,0.8516943806551248,7.482813751163763,0.809527802217874,8.303871407464573,0.764504267817196,8.936845433241894,0.7679355173178426,8.870787772072205,0.7651952038292207,8.897793831377207,0.7463378481881519,9.196899746196173,0.716893689746804,9.54932689155288,0.7727996884172317,8.866203968011845,0.7429539852046427,9.412539127451838
Jaú​,08070508009558,92616.60969404542,30019.364465626928,12921.182466758026,4476.855053523416,3285.5029308733397,2689.882814685065,721.6985000627296,483.81831382808156,201.87612585533483,80798.34927782785,25810.289124964525,11021.910596442134,3798.9486926231903,2780.234307944278,2146.6977111573606,574.7399958351664,352.51652808452354,132.89150135020415,127416.57773622926,147416.79036525832,79913419.27358234,667696.7952700619,220877.22499520262,97373.2353609565,34382.735592979305,25235.08428027168,22931.439280798157,6265.998371931268,4693.716450807861,2127.121574678199,1081583.3511776875,RAIZEN ENERGIA S.A - FILIAL DIAMANTE - Jaú​ - SP,SP,5y_1985_2024,0.8643288014921907,7.336907475042843,542.0917052635513,0.8723958860591137,7.209255418393814,0.8597879929975892,7.357824821645163,0.8530109860144691,7.535938418288417,0.8485753161995508,7.68010917975088,0.8462127005941361,7.680737108203945,0.7980636552037672,8.525069997699138,0.796371332052388,8.682293743698553,0.7286134443637154,9.701403019803239,0.6582824035638305,10.536766374259145
