model,term,coef,std_err,p_value,ci_low,ci_high,n,r2
Sem influentes HC3,C(uf_x)[T.SP],4.076348884101941,1.8612311238232386,0.028514390818700656,0.42840291450338386,7.724294853700499,200,0.31678181527777527
Sem influentes HC3,frontier_year_c,-0.07957816656907771,0.06672913317070395,0.2330436681764848,-0.2103648643032345,0.05120853116507909,200,0.31678181527777527
Sem influentes HC3,vol_pct_first_c,-0.4638184139007446,0.09332167627111278,6.691708246736568e-07,-0.6467255383690318,-0.28091128943245736,200,0.31678181527777527
Sem influentes HC3,log_cane_area,-0.5793295709984728,0.7344095507292333,0.4302071662775421,-2.018745840330012,0.8600866983330663,200,0.31678181527777527
Sem influentes HC3,share_cane_slope_le12,14.840309854390696,7.311030515085357,0.04237158623684803,0.5109533549500753,29.169666353831317,200,0.31678181527777527
Trim 1–99 HC3,Intercept,-13.243778948459845,12.521689083553515,0.2902072261055345,-37.78583857783309,11.2982806809134,215,0.16173707524661063
Trim 1–99 HC3,C(uf_x)[T.MG],0.8644472661800784,1.9615871098157653,0.6594391192216453,-2.9801928215968374,4.709087353956995,215,0.16173707524661063
Trim 1–99 HC3,C(uf_x)[T.MS],0.8614267876313679,2.2436709916260154,0.7010256447993298,-3.5360875491128914,5.258941124375627,215,0.16173707524661063
Trim 1–99 HC3,C(uf_x)[T.MT],-2.8289933145192148,4.731248232797564,0.549881273796252,-12.102069452721217,6.444082823682788,215,0.16173707524661063
Trim 1–99 HC3,C(uf_x)[T.PR],3.123791020996738,2.494436032998635,0.21045928725597673,-1.7652137654195523,8.012795807413028,215,0.16173707524661063
Trim 1–99 HC3,C(uf_x)[T.SP],1.8425657925281553,2.320586012334511,0.42719028889397426,-2.7056992146749073,6.390830799731218,215,0.16173707524661063
Trim 1–99 HC3,frontier_year_c,-0.08898120459335275,0.08020319704656251,0.2672373520549228,-0.2461765822495845,0.06821417306287901,215,0.16173707524661063
Trim 1–99 HC3,vol_pct_first_c,-0.25731799847224285,0.11623945004951265,0.026850176284173136,-0.48514313415203025,-0.029492862792455443,215,0.16173707524661063
Trim 1–99 HC3,log_cane_area,0.5779186774345613,1.0795645077032157,0.5924246249207553,-1.5379888766514553,2.693826231520578,215,0.16173707524661063
Trim 1–99 HC3,share_cane_slope_le12,4.302797536872953,7.862428351667279,0.5841996837497441,-11.107278863421536,19.712873937167444,215,0.16173707524661063
Winsor HC3,Intercept,-12.315435774194146,12.757857302862865,0.3343837346194025,-37.32037660770668,12.689505059318382,221,0.23382133353413226
Winsor HC3,C(uf_x)[T.MG],0.3999630804761884,2.094574319113348,0.8485632275568041,-3.7053271479284793,4.505253308880856,221,0.23382133353413226
Winsor HC3,C(uf_x)[T.MS],1.062651888774447,2.2118318815003355,0.6309147568511271,-3.272458938823675,5.3977627163725685,221,0.23382133353413226
Winsor HC3,C(uf_x)[T.MT],-1.8975749745220873,4.483640329844225,0.6721333381713819,-10.685348540648056,6.890198591603881,221,0.23382133353413226
Winsor HC3,C(uf_x)[T.PR],2.9443017356569587,2.4572443960079626,0.23083417599199807,-1.8718087817315263,7.760412253045444,221,0.23382133353413226
Winsor HC3,C(uf_x)[T.SP],1.527353951704968,2.3789856713335222,0.5208608601860251,-3.1353722838455775,6.190080187255513,221,0.23382133353413226
Winsor HC3,frontier_year_c,-0.13418691265946173,0.08248728095291266,0.1037883286503275,-0.29585901250980734,0.027485187190883886,221,0.23382133353413226
Winsor HC3,vol_pct_first_c,-0.33006812492515153,0.07854019994817177,2.6393966418148933e-05,-0.4840040881621428,-0.17613216168816023,221,0.23382133353413226
Winsor HC3,log_cane_area,0.3245172639797797,1.1075877820298614,0.769526262113755,-1.8463148985153481,2.4953494264749074,221,0.23382133353413226
Winsor HC3,share_cane_slope_le12,6.280112406752388,8.928463766871866,0.4818182997550744,-11.219355013587297,23.77957982709207,221,0.23382133353413226
RLM Huber,Intercept,-10.385211514183293,7.402430910975789,0.1606329149860688,-24.893709497741863,4.123286469375277,221,
RLM Huber,C(uf_x)[T.MG],0.40044120000166994,1.2540472968292393,0.7494845832790602,-2.0574463366934497,2.85832873669679,221,
RLM Huber,C(uf_x)[T.MS],-1.4949377977211173,1.4273336527715033,0.29493175657810733,-4.292460351075263,1.3025847556330281,221,
RLM Huber,C(uf_x)[T.MT],-4.71697950556712,2.008387603849541,0.018842113236037062,-8.653346876108918,-0.7806121350253221,221,
RLM Huber,C(uf_x)[T.PR],3.2111394856660027,1.4852778187389908,0.03061979322516641,0.30004845390137014,6.122230517430635,221,
RLM Huber,C(uf_x)[T.SP],1.596041288664744,1.2450562537238352,0.1998766918413012,-0.8442241273603368,4.036306704689824,221,
RLM Huber,frontier_year_c,-0.04418588865176744,0.06153715824773211,0.4727351531165468,-0.1647965025282643,0.07642472522472943,221,
RLM Huber,vol_pct_first_c,-0.43693709652100277,0.03179134082842122,5.5406695872390014e-43,-0.4992469795649461,-0.3746272134770594,221,
RLM Huber,log_cane_area,0.3020084015948056,0.5686691344198409,0.5953638331524151,-0.8125626209876494,1.4165794241772605,221,
RLM Huber,share_cane_slope_le12,6.082512669059067,5.947540143088057,0.30645262471007473,-5.574451807999724,17.739477146117856,221,
